"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"雇主-保镖",48.7777777777778,3.22222222222222,65.5555555555556,59.5555555555556,61.2222222222222,56.1111111111111,53.4444444444444,61.4444444444444,16.5555555555556,38.5555555555556,91.8888888888889,43.5555555555556,73.1111111111111,66.5555555555556,25.6666666666667,51.5555555555556,28,67.8888888888889,51.1111111111111,69.2222222222222,38.7777777777778,34.2222222222222,55,50.3333333333333,6.55555555555556,61.7777777777778,83.8888888888889,70,78.6666666666667,27.1111111111111,41.6666666666667,70,64.3333333333333
"雇主-雇员",71.625,12.375,58.5,90.875,84.875,45.875,82.625,60.75,7.625,34.25,90,60.125,48,63.5,11.875,71.875,14.5,42.625,29.875,79.75,15.75,22.875,80.5,45.875,4.625,74.875,76.75,81.875,94.5,30,43.25,96.875,60.875
"官员-行贿者",65.8,9.8,31.1,83.8,90.4,68.1,57.2,30.5,5.5,42.3,71.3,49.7,15.3,30.2,14.5,66.7,11.8,62.6,41.8,45.3,19.4,12.2,83,68.2,2.5,56.1,48.9,9.1,93.9,61.2,51.7,57.4,5.1
"冠军-亚军",37.25,24.875,78.25,51.625,27.25,18,47.25,42.875,39.75,70.5,21.875,80.375,60.375,37.625,13.25,71.75,10.375,8.375,23.625,77.875,9.25,16.375,76.25,43.25,5.375,42.75,39.875,94.5,16.25,46.625,50.125,72,79.625
"黑帮老大-小弟",59.4,18.9,45.9,56.5,39.3,52,66.9,51.5,35.4,32.2,44.8,44.2,45,60.4,36.1,47.2,27.4,51.8,45.3,51.2,41.2,32.8,58.6,49.9,5.8,78.2,78.5,69.6,37.4,45.4,32,65.7,36.8
"继父继母-儿女",67.25,14.125,55,40.375,29.25,26,51,71.125,59.375,81.125,41.25,28.375,81.375,55.125,59.125,36.5,54.75,83.875,55.875,48.375,64.25,66.25,39.375,59.625,26.875,66.25,78.625,68.375,11.5,46.75,39.25,10.125,62.25
"继祖父母 - 继孙",70.4444444444444,5.44444444444444,41.2222222222222,32.2222222222222,24.5555555555556,21.4444444444444,35.4444444444444,68.8888888888889,76.4444444444444,81.7777777777778,25.5555555555556,29.7777777777778,67.7777777777778,81,77.4444444444444,47.5555555555556,78.6666666666667,85.2222222222222,71.3333333333333,37.8888888888889,74.8888888888889,78.5555555555556,19.1111111111111,67,21,76,81.3333333333333,67,15.5555555555556,16,38.6666666666667,6.88888888888889,77.2222222222222
"寄养父母 - 寄养子女",73.6666666666667,10.2222222222222,46.6666666666667,48.7777777777778,38,15.3333333333333,41.8888888888889,82.6666666666667,74.6666666666667,80.2222222222222,32.5555555555556,37.7777777777778,86.2222222222222,81.7777777777778,81.3333333333333,47.1111111111111,76.7777777777778,87,79.1111111111111,43.5555555555556,75.3333333333333,73.1111111111111,12.2222222222222,76.8888888888889,41,74.6666666666667,81.1111111111111,61.2222222222222,35.2222222222222,22.1111111111111,47.5555555555556,8.33333333333333,85.5555555555556
"老师-学生",95.5555555555556,8.66666666666667,61.5555555555556,27.8888888888889,17.2222222222222,13.5555555555556,95.7777777777778,85.6666666666667,82.5555555555556,58.4444444444444,54.8888888888889,76.3333333333333,88.6666666666667,92.2222222222222,76,34.2222222222222,85.5555555555556,88.8888888888889,83,83.7777777777778,82.7777777777778,60.8888888888889,10.1111111111111,90.7777777777778,2.55555555555556,87.3333333333333,90,88.7777777777778,11.1111111111111,7.88888888888889,35.7777777777778,85.5555555555556,91.5555555555556
"家教-学生",74,21.1,75.1,33.4,32.1,32.9,70.3,66.7,27.9,48.4,65.5,63.5,40.3,64.5,20.1,52.3,39.7,79.2,62.7,59.7,56.7,45,52.8,83,6.1,66.2,88.4,80.3,48.5,23.4,55.8,77.5,82.1
"假朋友之间（表面朋友，实则讨厌对方）",39.2,56.4,13.8,65.2,72.9,59,63.7,32.9,11.1,20.7,44.4,22.4,11.2,19.2,20.6,69.9,4.6,18.1,25,51.9,21.5,16.9,73.3,39.9,2.9,42.4,45.3,28.3,50.8,59.9,52.5,20.8,11.7
"教徒之间",71.25,50.875,55.25,17.375,7.25,12.75,65.875,60.25,65.875,24.125,45.625,33.25,55.625,56.5,51.375,27.5,33.875,26.25,37.5,60.5,44.875,33.875,32.75,66.125,6.25,70.75,58.5,77,14.75,17.5,58.25,35.625,68.5
"童年玩伴之间",96,88.6666666666667,2,45.1111111111111,11,1.44444444444444,90.4444444444444,85.7777777777778,88.7777777777778,85.8888888888889,4.66666666666667,19.4444444444444,79.3333333333333,91,92.1111111111111,63.3333333333333,83.1111111111111,1.66666666666667,78.7777777777778,50.5555555555556,80.1111111111111,87.6666666666667,8.88888888888889,84.2222222222222,23.2222222222222,82.6666666666667,90.1111111111111,61.4444444444444,8.22222222222222,8.22222222222222,72.1111111111111,3.33333333333333,82
"外地人-本地人",48.125,38,29.75,63.875,44.125,39.625,51,36.875,32.625,19.5,34.875,66.5,57.25,34.125,41.25,70.75,15.75,27.75,17.75,36.875,16.5,11.875,70.25,36,9.25,24.75,58.875,86.625,37,60.375,52.5,21.5,59
"外公外婆-外孙/外孙女",95.5,11,37,30,7.125,12.75,66.125,78.125,80.5,83.75,39.625,47.375,95.625,88.875,88.25,30.25,91.375,95.75,82.875,54,87.125,92.625,10.875,70.125,45.875,83.25,74.5,66,4.25,9.625,44.375,4.875,91.75
"未婚夫-未婚妻",78.25,63.625,72.625,40,46.25,25.875,66.5,61.875,44.5,73.875,45.375,43.875,81.625,72.75,68.625,68.375,66.375,5.5,81.25,82.875,79.125,73.5,52.25,66.375,91.75,83.5,62.25,71.25,30.75,17.25,66,12.875,92.375
"校友之间",78.8888888888889,54.4444444444444,35.8888888888889,29.1111111111111,8.22222222222222,17.3333333333333,74.7777777777778,81,82.1111111111111,64.4444444444444,17.3333333333333,47.4444444444444,78.7777777777778,77,75.2222222222222,29.6666666666667,66.8888888888889,37.8888888888889,67.1111111111111,85.8888888888889,72.8888888888889,66.4444444444444,13.8888888888889,84.4444444444444,2.33333333333333,85.7777777777778,72.4444444444444,82.4444444444444,5.88888888888889,15.1111111111111,60.7777777777778,26.7777777777778,75.1111111111111
"校长-老师",74.2222222222222,26,83.5555555555556,72.4444444444444,48.8888888888889,24.7777777777778,42.7777777777778,36.4444444444444,38.4444444444444,34.5555555555556,61.1111111111111,51.8888888888889,54.2222222222222,64.7777777777778,10.5555555555556,49.2222222222222,5.55555555555556,35.3333333333333,31.7777777777778,66.5555555555556,25.1111111111111,18.3333333333333,62.5555555555556,67.4444444444444,2.66666666666667,65.2222222222222,75.1111111111111,88.2222222222222,52.6666666666667,14.8888888888889,53.8888888888889,93.1111111111111,73.3333333333333
"亲兄弟姐妹之间",74.875,52.125,21.875,40.875,19.875,15.625,80.125,85,71.125,84,63.375,56.5,90.625,78,75.375,36.625,80.375,10.375,75.875,73.375,77.75,73.125,25.625,80.625,39.625,65,82.25,52.75,10.25,28.875,70.625,13.5,80.875
