"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"演员-观众",0.53450788536427,-0.750682338168681,0.583444315283075,1.266223490538,1.22411171372267,-0.869660341996762,0.12048034291426,-1.34527729007775,-1.29214785708718,-1.60479087625871,1.81672369614185,-0.69427204496189,-1.422128171136,-1.16336404916813,-0.584522625304638,-0.0976760681043095,-0.896766646139214,-0.21807994863922,-1.22664576085768,1.37836521646652,-0.986634103500831,-0.960005866580788,-0.0415106258808118,-0.711895488356929,-0.349077326914697,-0.879537059604222,0.970616620580111,0.57626487467524,1.78098150315778,-0.775609186146792,-0.831963875765483,1.36963652941217,-0.0104275814097107
"演奏家 - 听众",1.10119671692133,0.172425854389443,-0.227925847100661,0.116762048696042,0.230227739415021,-1.27658744484997,1.34667403988175,-0.969005708604319,-0.746928828822054,-0.997890819915166,1.64309671623609,-0.949903664203539,-0.866099266216265,-0.194783153789865,-0.490344071899089,0.681702844146183,-0.510326393853904,-0.9079490075378,-0.68532408879669,1.86395230894693,-0.681885252924781,-0.399179957440061,-0.209104104137046,-0.707052236336324,-0.114626474767064,-0.16274965690133,0.455878334109231,0.517783540739312,1.0953261939293,-1.04355499234687,-0.611261492501439,1.10081221835116,-0.123614934504848
"爷爷奶奶-孙子女",1.28037039160481,-1.42054846020201,-1.07193733785616,-1.02780806786148,-1.28820611022166,-0.632286198665724,1.26492779341725,0.872037386462104,1.61568696032683,1.28717984677225,0.649788877705455,1.56551146913429,1.67296978911652,1.5966629270425,1.73070014591513,-0.75798320209431,1.78099106161556,2.14598353368396,1.73530301079677,-1.06113184337558,1.88308423942364,1.6364103794411,-1.55426228487787,1.578962717389,2.862354112968,0.866817703344643,1.22480836698548,0.852722089645084,-1.16929534169392,-1.11585782894054,-1.14417700330974,-1.20979674100655,1.19218804522612
"主治医生-病人",1.06786207977091,0.593134455422571,0.578781268372824,0.747743010388011,0.975640720145755,-0.651663679753972,-0.364547386108434,-0.839102424524207,-0.906505129777701,-1.43007722367496,1.60675618555814,0.992896642032996,-0.733896589522062,1.0738006737852,-0.623763689223618,0.730414026161839,0.23913348936609,-0.626112257865819,0.351357981282367,1.06042128686624,0.139243594460687,-0.399179957440061,0.0731585960839796,1.52568694516235,-0.68167039624041,-0.154061324747355,0.900713890318634,0.305124144608664,1.47145710642035,-0.575713108505463,0.325377890131333,1.47204579076874,1.07428455241869
"姨父姨妈-侄子侄女",0.480339099994845,-0.855655260950734,-0.99313184507291,-1.0302537305037,-1.16995232253783,-1.07796826369543,-0.113858896950637,0.308077956610856,1.10681586727938,1.07844300921167,-1.0553895784388,-0.667175093322275,1.35957167907085,0.449794574815846,1.30493460239421,-0.673009251244778,1.19313346571487,1.58273068620518,-0.148087863317297,-1.74904689105617,0.633190689769368,0.710424489459852,-1.21863429289631,0.304218785565896,0.0374939618589587,0.0435982317555634,-0.49606975617889,0.471530122080896,-0.587467836434324,-0.563379095204189,0.24463311576644,-1.0945863219804,0.210287757125806
"见义勇为者-受助者",0.930356701525449,0.722308334137839,-1.15995234828715,0.125321867943801,-0.214374293073296,-0.750973270331243,0.689297974563066,-0.720957627365139,1.49877515650168,-0.484669465450411,0.746192229920573,-0.647619274450289,-1.17230399532416,0.552009859571473,0.369035227926554,-1.17473442600603,0.513349931012989,-0.311149173810751,0.0392043284075773,-0.331306004974951,-0.321054148596888,0.368320684884009,-1.03604560869083,-0.173083701064678,0.185934065340803,-0.430458891395668,-0.398841413178834,-0.979471520143036,0.0516608625250844,-0.935632375960729,0.208297967302237,-0.813760925604173,0.955202024683177
"金主 - 援交男/女",0.419399216454243,-0.844626977234331,0.550220106047534,1.37994680340109,1.29715758451958,0.486157787896587,-0.0525492121022625,0.110535376337306,-0.889882598428154,-0.903637402073934,1.38669408311944,-1.59665166088491,-1.1373091691404,-1.08247040137934,-0.858229046139518,1.03553545795435,-0.430793867184074,0.285124845084821,-0.954708222770436,0.267006662545562,-0.344862652548142,0.784266567496715,0.809687829473218,-0.532695163594562,2.00156508313527,-0.792110717304854,0.416160873733392,-2.15773748682941,1.75306553699634,-0.0217457869568857,-0.379120266202368,1.23842466329905,-1.54906816254673
"经理-老板",0.788684493636185,-0.338142836184741,0.816596660795643,1.58905095931064,1.072268328759,-0.506332571592113,0.273073336314658,0.204603271705663,-0.51199705241513,-0.928924904421582,0.900134755709111,0.215776519538382,-0.00678186770394534,0.580938713747593,-1.0357948603729,0.264951620234461,-0.939704451948693,-0.133949575602807,-0.220604540140561,0.239547868625539,-0.427927877444739,-0.797989492829022,0.690608252817473,0.600625809226891,-0.414505471700083,0.827720208651758,0.0682359208410381,0.757025361386292,1.26771952882103,-0.414095003178431,0.621442062802613,1.37603710824695,0.230095543917456
"经理-员工",0.274081032626652,-1.12492918835956,0.65513866152819,1.34693035773116,1.54562857809649,0.813152781260772,0.027153378200624,1.19399595691928,-0.630571109375228,-0.634670331648956,1.55022647117022,-0.641867563017352,-0.148705329449193,-0.00245984547084,-0.792009750776241,1.46175830059134,-0.606448527313761,1.21266220781126,-0.196347201062356,0.709237764625942,-0.221058432001622,-0.304670406084864,0.715416497954086,0.464409346147389,-0.261839800534182,0.537204102253237,0.98809230314548,0.659334951288775,1.66490985438125,-0.337539058549837,-1.13004666779588,1.14481619784031,0.132825162351322
"捐款人-受惠者",0.341583672856242,-0.657146154055491,0.261694078475731,1.71671454923436,0.494803334427472,-0.772772936555522,-0.0795254734355471,-0.52240717678407,0.456542440885115,-0.622256466860111,-0.677448059388118,-0.349680622224146,-1.03757391451669,0.083362421918318,0.167728570022191,-0.43919557756963,0.926138382317751,0.515116252373112,0.394255170389087,0.290418897361583,-0.170584403624964,-0.0672541045486229,-0.647052324948731,-1.23012345456161,-0.629873114951979,-0.378654710927595,-1.35396690029702,-0.418449450725868,1.20738186160892,-1.04950934359576,-0.627410447374418,-0.723032720621083,1.25019656368738
