,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
乞丐-路人,0.0771983319570123,-0.7297490218551399,-0.944869309551808,1.4679906585208982,1.13668673450116,-0.1296827829392929,-1.3584454993726343,-1.6078834979810799,-0.7751871321162832,-1.043293380948442,0.4827233825054352,-1.1422664576828807,-1.5091291973428478,-0.8655039950584397,0.024694892037512337,-1.3634902563166982,-0.07509318042145993,-0.216502504144787,-1.5809305816051378,-1.2287750062557223,-1.0019773616027505,-1.0057027925107733,0.1100953166207154,-1.8458218676809572,-0.5746681177893095,-1.2368447194364216,-0.6323886289489149,-0.8277899852379007,0.3243964023830034,1.479782920889555,-0.7825204867035404,-0.8454213381596322,-0.8641654839281124,0.2707722489360202,0.02650872751367728
前任官员-现任官员,-0.01551362761757975,0.29904688965184084,1.3714992431155548,-0.1767174683699903,-0.6164141646248259,0.10890245295976005,0.19677683961445958,-1.0809912983285543,-0.47210297717621813,-0.2760475710823194,-0.4081243486970884,0.6810260665581843,-0.1312079163573129,-0.0276386629945006,-1.1927591160488147,0.7737128546201988,-0.8928632092474432,0.3750391812674861,-0.91513045901126,-1.0206662523355436,-0.8723532845348124,-1.0140113244980433,0.8758431498375208,0.6345285733711222,-0.6271469422525879,-0.14102882651639367,1.4258300214535524,-1.1773036365452882,0.597530814288305,-0.26031230317387577,-0.22695824964186734,-0.24521851538058534,1.4976481061078832,0.23952782334204997,-0.5812117075591998
牢头-囚犯,-1.6280766997689116,-1.3225192716117673,1.6792603391921443,0.6939384322592387,-0.6532246821917758,1.6591009400195964,-1.1874596005177238,-0.4359543015169608,-0.9020724547511552,-1.2783522095890743,-0.7351891247986383,-0.13188248263026095,-1.0955097934209113,-1.8276562561753416,-1.357571584508527,-1.2775691435946386,-1.1895244130220242,-0.1844277994246549,-1.395170432348361,-0.5350791598551263,-1.2575219706795426,-1.2009532942116192,0.32013845877737646,-1.3076154868912822,-0.7198368140318848,-1.8960719216192332,-0.40417950284424314,0.8562303346976929,0.044616384348618525,-0.597262912280445,1.1085176733236086,-1.8170501230171927,1.2512258209686262,-0.40186717753039275,-0.3722013149360047
原告-被告,-2.1989323609697706,1.197647785062404,2.0429779981917506,-0.029977709836974127,-0.7728588642843627,0.7241374775116328,-1.2256078488678237,-1.2377711239424831,-0.8267169792998776,0.6664866073299965,-1.4862267588096045,0.5429849921676936,-1.1654994457884305,-1.6305114721602973,-1.1731385840893251,-1.9757627524857047,-1.1934278499137951,-0.6345252951694602,-1.0172666235510686,1.0141748971062046,-1.3633375437962267,-1.151102102287999,1.4183167768248035,-1.4819725596330442,-0.6489563238477166,-1.891727755542246,-0.43887162652761386,0.5766194136517833,0.719809967063428,-0.46796791111164515,2.1292636017048645,0.6806548973368685,-0.4513281490844222,-1.0668428769643223,0.21848022943389447
妻子和外妇（非妾）之间,-1.549427790242151,-1.2122364344477436,-0.2943742655717433,-0.645061864354533,-0.6129631786029244,0.4425584554480296,-1.3768384048271467,-0.6957608696771859,-0.26653767282015933,0.5911988162495007,-0.662003333849989,-1.0905010547864467,0.18811987256949356,-1.0487200715072038,-0.48740099210516513,-0.7789560721288289,-0.8435823184888368,-0.5383011810090635,-1.2419661855386477,-1.8531012680162586,-0.7210370149779542,-0.7673517811259642,0.5963369212983411,-1.1865341863761696,1.1673562371215938,-0.41091014404922516,-1.1934253166409226,-0.5704208420024609,-2.3491309433469945,-0.8122648271028052,1.413678174829255,-0.5668518666007472,-0.7417544137128321,-1.4747889620780454,6.5694427574571765
丈夫-外妇,0.8095186418551944,-0.8732188239064856,-1.0999156193176656,1.0852444550139482,-0.5519957588826638,-0.26411405798901305,1.5265157821036435,0.5674365824121848,-0.5740545027867701,0.7170616120252913,0.883983408741133,-1.727023786698154,0.08653766878608021,0.17807763336902419,0.8124592502110182,-0.8770549803548023,0.9690761881272298,-0.6303187765176395,0.039842679435951,0.690450168785926,1.2143298173261974,1.632256113447463,-0.6192670903957233,0.45532824860875554,3.4948261792267323,0.13699780241078865,-0.9939456054615421,1.2629371289462894,-3.0283118897392534,0.5507199768849594,-0.911708643264293,-0.8265808908078235,-0.8001596955802535,-2.118542032806637,1.0817840250514397
远亲之间,0.04907223186134953,0.1626229355304185,-0.6909664052886215,-0.6384585752205474,-0.9256225121872046,-0.8425318684732146,-0.5356695287074518,-0.8691145625703017,-0.06208053722073699,0.1887826993444376,-0.8446145005066876,-1.2423462366159865,0.6631746380140304,-0.20206893928607245,0.6904195414229931,-0.19076854928978534,0.20946736898863166,0.041882904043294,-0.47900903642627685,-2.113237210416482,-0.1210627154063556,0.037433398490979465,-0.7185000709421775,-0.4760291149534896,-0.01648425758898484,-0.44512045190549954,-0.5377441790252196,-2.7208830165919133,-0.08351090182009722,-0.4217351531179531,-0.5480679062784707,0.07506908960016186,-1.0859455405534437,-0.26509912587376894,0.38841476604492714
岳父岳母-女婿,0.3903355796887242,-1.0798970298509152,-0.9847383606344571,-0.7132958520723854,-0.3085862114712079,-0.3411395453147988,0.8769056101990914,0.5378723867249867,0.6480340020318908,0.9294766317455305,-0.8300782882355077,-0.32207240734604814,1.0201218650883785,0.9897998527700984,1.3190613854050386,-0.15179960367726086,1.013965712382594,1.866670695203074,1.359441925290279,-1.135126066991642,0.9074646552878135,0.42627269549521707,-0.5954511750645741,0.6311382969566994,0.7539321472589358,0.6261509026795506,-0.8968076591481046,0.21312521629210043,0.3519092117574062,-0.0691124226575899,0.01844608397312609,0.5886058545608891,-1.100346842931712,0.4692038273309321,0.4374867712695032
同袍（战友）之间,1.0475487852573777,1.4575272485646635,-0.8871641040374474,-0.749613942309307,-1.332493764169397,-0.9144707670133351,0.38888051880603214,1.6324195406896593,1.2843445020925321,-0.7019120992552007,-0.4439601497822892,1.1066527125955308,0.8092780373312267,1.130586943093886,1.4020562355936794,0.8285129343878115,1.1193585084604059,-0.7938471891071656,1.1997264979911535,1.580693171666691,1.3550645295713872,1.6535467266648423,-1.1154319931279943,0.6278691018427913,-0.5378647863475299,1.4902055353923098,2.16791622961815,0.8451094457924581,1.2036100932606537,-1.0414696019020413,-0.734673021310669,1.2438496985320056,0.6335699634117873,1.4857677423166313,-0.832251363916407
官民之间,-0.42907146976491745,-1.3041387987510968,1.0433373168066156,0.18585201833867038,0.24633234085056077,1.0093497772792823,-0.10772792846579937,-0.5546590266246498,-0.2814979510347512,-1.2450186837671753,0.4191274538190227,1.4862656671693801,0.4112118894909611,-0.5762154532972331,-0.5977664843772938,0.8285129343878115,0.10495284621146836,0.015381836536824053,0.1828333097916833,-0.6499725344152252,0.007503205930415542,-0.33738525078473997,0.68564660379015,-0.24391626186601878,-0.13302814048795372,-0.14700205487225115,-0.04695904179203723,-0.5561225562671587,0.6772780878372984,0.7172362662690197,0.7533831524076303,-0.6879690281480885,0.9287966621662868,-0.01042758140971074,-0.3210846428270711
敌对朋党之间,-2.0135084418205866,0.7498790434288448,0.9069431946817632,-1.4759757470477366,-0.638845573767186,1.7559883454608363,-0.34070473088962155,0.33226684399129125,-0.7552400944968274,-0.4226001415061852,-0.9345573139346138,0.7788051609181152,0.4462067156747207,-1.6899763390778786,-0.6816442585041118,-1.2965123810451715,-0.9445837480634063,-0.3158815072940489,-0.48360516383056834,-1.137727426415644,-1.1924453932127819,-1.0103763417536127,1.2463129438776164,-1.0176257721575876,-0.4519903463167107,-1.7548865241171483,1.597122382140194,-0.985071128326225,0.1748702644786411,-0.30096186793527874,2.0500494645544443,-1.2148286808790232,0.6983758241139945,-0.9601402159735944,-0.8015813606510468
同盟朋党之间,0.6865971673630389,1.0209910181237365,0.555466033821567,0.20786298211862278,-0.3748451430917177,-0.7128238544387548,1.60894324728868,1.2393501207575945,0.2470985458808285,0.6687854711797828,0.7825327605985225,1.2619489212848327,0.7524114447826173,0.8316554499406391,0.27191359472708077,1.175580106249359,0.5265240305227151,-0.24016417156127792,1.2744135683108886,0.9888839027061825,1.055077379785588,0.5973245977831391,0.7997645314185723,1.3144000757634793,-0.05942147760439443,1.6905801956933455,1.3385576478125731,0.10159858755674304,0.11505980931689617,0.056068646655838904,-0.7298882747713819,1.81310035780451,0.8063855919510065,0.47238722163673297,0.2718687536365585
掮客-客户,0.29283176602376015,0.05142107472336132,1.1797314389314677,1.4129632490710171,1.8251584458705186,-0.00433470214968892,0.7812625018356274,-0.2674159889819871,-0.4909418460390375,-0.7639814231994263,1.4275771801321346,-0.10120668832126312,-0.5861406567461879,0.08432671705752198,-1.1451793260470526,1.8818922454763676,-0.7733204544369623,-0.11239116751222694,0.2919913356436038,0.3645576409456463,-0.7972242276219668,-0.692574993240534,1.3008910831781662,0.8894047109554343,-0.3538481291386316,0.4345731786844138,0.4701704268632047,-0.17006884141399897,0.258604901705084,1.642870933727473,-0.28490684661767823,1.371022718156714,1.1232142442729083,-0.2597934686974344,-0.21885129860920394
忠臣-逆贼,-1.9760069750263696,-0.18292995425018907,0.32989113953815746,-0.9532153572738669,-1.1668464351181227,2.0448339229325323,0.20495146426090938,-0.7562330881282728,-0.6604916658044121,0.058437119061563736,-1.1208025336591074,1.0088736182355997,-0.36742299309769033,-1.622475679333597,-0.8891313839757139,-1.3269568698049563,-1.0499765441412179,-0.10765883402892876,-1.0466307708562637,-1.2612919990557503,-1.2019687947932833,-1.0103763417536127,1.2165430497136802,-0.5708357732568226,-0.5317308977738999,-1.3394756430052448,1.2800146890968855,-1.8215208438414043,0.5337329954491106,-0.794633690579787,1.9974172526222858,-1.3298899843489975,0.43195173011603155,-0.1802086110524162,-0.18818129534384379
主人-客人,0.3022071327223144,0.2857721036969117,-0.053061587966235446,0.40045891519320637,-0.14708006564621556,-0.2332311975046179,0.9222747769868882,-0.015448412102458392,0.3817410498121554,-0.8105334161575956,0.8642989546239099,-0.5325850457915466,-0.9448376251297239,0.6195105193157542,0.7354486622700216,0.7371794681084569,0.5484808630389258,-0.2590935054944707,-0.5295664378734822,0.6767207718259145,-0.14010951856735873,0.32625874169845415,0.09521036953874726,-0.5109005295018418,-0.3906514605804113,0.3905884971549181,0.3628416692177771,-0.26300769869346335,0.001419944509580829,-0.08938822965906087,-0.7251035282320948,1.098509104675196,-0.20890622571690629,0.7058361373954529,-0.290414639561711
主人-奴婢,0.22720419913388037,-1.487943527357803,1.174485511157435,1.6825975553754342,1.9493939426589741,2.3554791666285073,-1.0764209490701127,1.390530666885312,-0.9646839895011137,-0.14846062741918847,1.7319291245599655,-0.23924776271175383,0.6168064933205488,0.6291534707077945,-0.3461331619968403,0.030867328881448268,-0.9270182820504377,0.9003281979135846,0.5160525466028091,-0.16872104097481178,0.2693967493942086,0.3309322909412935,1.0180770886207717,-0.3964787005150605,0.6459757083630489,0.722917202044441,-1.0031607008149375,1.1453734462338043,-1.093111384950351,1.1756458158674918,0.059594904210995565,-1.1603259581827197,1.000803174057628,-0.14306901081807438,0.2616454192147718
奶妈-家长,0.7053479007601473,-0.6240613029062839,0.1410377396729774,0.9397275278020404,1.6388052006878349,0.4207587892237506,0.6095953842601796,1.259507526907957,-0.4610212896098537,-0.02432197953073715,1.4639177108100845,-0.8316740403042765,0.21436599220731328,0.25789984211424594,-0.2843284863244482,1.6870475174137445,-0.4000543016613793,0.23306917676854055,0.10814623947194821,-0.12319725105477267,0.17892443437944372,0.06453998409944801,0.2787913835496876,0.16473312737248594,0.5416996026113399,0.30750632093253744,-0.9787678013500675,1.3669968751309887,-0.7761159725931032,1.1359757586907009,-0.347108551628411,-0.5910752989102154,1.044007081192433,0.03201767600096563,0.43544210438514597
奶妈-小孩,1.06369525012711,-0.5546239609881949,-1.3190788240994797,0.5912206012861271,-0.6716299409752509,-0.787306047371708,0.027834596921161345,1.2707060858803803,0.6404984544867635,1.0113161847979169,1.307956266650549,-0.59201939726523,0.7358861101958417,0.9366564762095217,1.401075208995705,-0.8554055661256218,1.4218748675726431,1.7421577431091841,0.6322324337668415,0.16439748526547443,1.5317765366762495,1.3414574938930113,-1.4704655457497529,-0.09680248174015708,0.7304870620441725,0.38461526879906066,-1.089348945590811,1.5870316056131406,-0.2637397400408215,-0.31908275825060295,-1.0818329646611688,-0.6058785075437795,0.4127499936116739,0.7630193314070589,1.4998048102978296
正职-副职,-0.10093363531551855,-1.2168315526629112,1.389568549892779,-0.25436725726037784,-0.5560219092415489,0.5079574541208665,0.027153378200624006,0.8110052400623958,-0.23661711639097557,-0.36570326122397834,0.8325009902807037,0.508474723570071,0.1924942258424635,0.07468376566548177,-1.123106227592627,1.0964244354739183,-0.7557549884239937,0.6684438572319735,0.039204328407577343,0.6702173732659089,-0.4305732667726565,-0.5290007697411552,0.9833455454295127,0.8894047109554343,-0.5439986749211598,0.6593837731685027,1.4556435652439488,0.9666448745425268,0.6294297237079025,0.915586552152974,0.011747438818124208,-0.21561209811345733,1.2312240121099203,0.20710436282000563,0.2207520815276249
