"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Lawyer.and.Client",82.8043923668924,53.4718960052293,58.7809024309024,33.9868472576806,83.1836996336996,30.8519142894143,61.0064782439783,36.6033568283568,69.6063219188219,74.6801081634415,75.2252528335862,50.7554141392377,27.9362995029662,79.760335361806,80.807921426794,45.7443297896729,82.6113126252832,42.1883346319621,16.4809403831463,32.6066642507819,69.451299816741,24.9672069850991,73.2928811928812,72.825791646625,74.7617063492063,83.6541987333654,77.7866542408209,41.7064193522527,71.1043570626904,63.238644380311,77.7529060445727,80.5559002725669,47.4556397306397
"Judge.and.Lawyer",52.648248048248,40.1299157632491,42.4935553643887,26.1529512154512,89.5399167190834,21.8050230633564,75.7118990577324,36.4601659143326,55.4637879096212,72.6061398478065,60.9130699547366,48.5893961430726,22.2264115514116,68.0707810073006,34.9748309696839,31.9066825059472,48.0061639431737,25.7535925857004,16.6821914922405,47.2250983130885,65.646968391086,30.2587907281535,77.1880852172519,62.198709315376,56.3157347282347,84.8015051306718,62.0906265031265,46.2126022126022,65.2704465287799,58.1455046496713,78.3143658810325,64.3844636844637,55.7187810646144
"Victim.and.Criminal",17.4124555999556,32.7546936088603,30.7042719626053,34.9532926949594,42.0019201477535,23.6017818601152,50.3642351475685,25.5814107189107,24.1251680418347,45.0012880637881,48.1309275600942,49.5432209312111,14.6740100585689,23.7286795539246,40.0106802964646,35.5751367822446,15.0528847514142,16.8286636656735,16.7315026930223,90.649613258927,22.718839856585,86.2878034819211,53.799981962482,45.1224025974026,17.8376262626263,19.1683982683983,27.1729757896425,24.2979918229918,44.7684002725669,51.7387586179253,15.9289001122334,11.2349747474747,44.8101390893057
"Drug.dealer.and.Addict",58.0542912334579,32.3283720908721,55.1749389499389,35.3797985964653,37.9409767701434,35.6630964714298,23.3229494271161,28.7950914825915,58.2278702778703,65.7668095793096,80.4402415485749,45.726422343089,15.739360331027,49.2701292534626,89.4236437944771,82.8882768466102,75.0299358049358,39.6787721537721,16.8527211985545,45.8099494641161,65.0593440510107,48.9087141253808,34.0534712201379,53.6113355780022,65.1634980759981,49.0283068783069,64.3989818823152,56.7188472021805,67.5095699054032,64.7444143819144,14.4284792368126,40.2723805515472,35.3775152316819
"Victim.and.Witness",58.4167873792874,57.3452188243855,38.2708829750496,44.1836396628063,52.2118064034731,33.6780318446985,57.8085500918834,51.3043932918933,35.0143987185654,43.8979744021411,42.4280668405668,59.0529999321666,26.6943840110507,51.9347240722241,24.3299797424797,25.2604170520837,27.6051988135321,26.6858968192301,16.7661349453016,36.5927401302401,31.514019622353,32.3717751384418,68.6453342953343,60.95319664903,48.9079525412859,27.9020081770082,44.3079264870932,23.7080988455989,61.9400272566939,54.7293510501844,65.7942299983967,51.2611251402918,43.2141394099727
"Criminal.and.Police.officer",20.9113070571404,25.3134855884856,43.5601996768663,28.056910373577,71.4419622044622,24.1062499229166,65.2255992464326,31.8672233630567,26.7070289278623,63.5916978083645,48.3763084138084,42.724921683255,13.7785862285862,43.7836199294533,29.7749138207472,26.554923625757,33.5857568357568,15.8188928355595,15.2425532800533,82.2377190710524,34.8466738508405,65.0981316522983,80.7265412057079,60.8088063171397,24.2888949013949,61.5189253647587,50.4550505050505,35.0746632996633,50.0101831810165,46.6202781786115,53.4521584896585,21.7559684143017,49.8322350489017
"Criminal.and.Prosecutor",24.5429655221322,25.7401152859486,39.5418336293336,27.426687355854,78.2949148074148,26.5706131831132,71.7339039047372,31.7487685154352,25.3298288131621,65.1711285627952,48.2091755466755,46.5841054007721,14.4793932918933,50.3551246592913,35.1970588053921,22.0268285726619,40.7395285270285,18.2309439017772,15.8375070916738,70.4698124406458,40.6956141081141,52.6142838642839,75.4039442039442,58.5980178771845,28.205150713484,63.1990059323393,48.9918751002084,34.0900272566939,50.6071168029501,45.5016734808401,56.7641835016835,29.6226290684624,52.2633497675164
"Criminal.and.Hostage",25.4831931956932,21.1532470615804,40.6237757612758,34.8703729912063,41.3462696254363,30.994482677816,38.5660068326735,28.4158263033263,27.3557980599647,63.2070255361922,55.805628322295,57.4737740654407,13.6478507603508,34.693302993303,45.7171834338501,35.5773465731799,20.6368361576695,19.6357095065428,18.0045121545122,81.2456936581937,41.9392265142265,82.4415698499032,45.747613035113,51.6915043290043,23.418089626423,25.8853856020523,36.7607323232323,25.0771404521405,56.9759579926246,58.2940596440597,23.2891213724547,18.3562249478916,45.3804172679173
"Defendant.and.Plaintiff",20.1092373675707,44.6474548599549,45.617702359369,34.1998146914814,67.8213291338291,29.2945967612634,67.22872667456,33.6004959546626,29.6367828159495,64.8903194028194,52.3573768823769,53.6489771031438,17.2609843859844,50.5643759018759,41.7389715223049,27.3492589200923,30.0381602964936,19.7618201243201,17.222483997484,71.0187533145866,49.8665632207299,45.5527318360652,68.6045073753407,60.8840889049222,29.9990019240019,45.5328463203463,52.9510381593715,34.3210738335738,53.9261042969376,47.8692119608786,53.6352212602213,29.6133898508899,44.7305515472182
"Police.officer.and.Offender",24.9200039158373,28.9220598845599,38.5648758648759,27.1827507369174,73.0396308937976,25.9137094387094,68.2204682663016,31.3420790629124,28.215887661721,56.2876421418088,52.9388323096656,41.3869568702902,13.3560835769169,49.2641639224973,41.7336552336552,29.7765842182509,43.3391172099505,15.462294341461,14.9896816146816,72.5881419506419,38.5440394482061,54.3326482159815,74.0151855860189,58.2157768157768,28.1374599166266,66.5851691518358,49.4253868045535,27.7569644861312,57.881880311047,50.9470759179092,56.2992123617124,28.4199094115761,47.7587061087061
