rel,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Manager and Staff,0.9287042380570955,-1.3309188888020709,0.3871058755787428,-0.9423790649998713,1.5641531788092913,0.23337396690176945,0.6461176226176186,-0.35993526233486667,1.9285075025439777,1.5608680727378654,0.1186299015182637,-1.2559076745471751,-0.5788640148638039,0.8166080300292312,1.3654598109481344,1.593800367544111,1.4027276173672045,-0.4340273199324517,-0.8233407828276258,0.7449023719930586,1.4059230148199824,0.7715243181731443,1.2431350850402174,0.9573583349392404,0.7295796559122699,1.4759857003755774,-0.6386429603503683,0.19775026371915894,1.1714571122778192,0.9005598863513172,0.09338998502223815,0.30088078248105365,-0.4760204466278909
Foreman and Laborer,0.8391475189681866,-1.3807868284220979,-0.07657788216205381,-1.3908984573273175,0.8410385149355891,-0.3466865965012167,1.651752887856107,-1.4436154791645048,1.551842603554876,1.2808261978711426,1.2924230813031201,-1.1789098442126036,-0.8798400146071286,0.02090202216454881,2.104322582778514,1.338206076114271,1.1615255092581487,-0.07602032935232414,-0.8087059819319753,0.5671667363454574,2.137678862436734,0.9996772332772256,0.7831472523776158,0.407055092603303,0.018274594617394332,1.371312639105602,-0.15025959678199569,-0.8812786387707681,0.9565458585684918,0.6495571797459537,-0.30678181851069636,-0.36050421691684964,-0.39312388978671886
Owner and Manager,0.5249313731362433,-1.2271312394678897,0.938041953324528,-1.1463361806969452,1.4358722987427044,-0.3082042447134806,1.0808166183604324,-1.0276489959352821,1.371109802469875,1.4571488598242643,1.4556658414056503,-0.7225081970480973,-0.6380894417407985,1.0830691942736062,2.0446721961789103,0.9117369494026839,1.240195408856675,-0.1959847371547272,-0.4673310872809458,0.1507896392203295,1.5583038787437575,0.4341477218065377,1.2878850325616926,0.9152502491718997,0.6293803361323413,1.4431777259476746,0.26533936088945165,0.23903963498790615,0.46777816741034683,1.1621323329581528,-0.06658119298970891,0.2877021193790569,0.003072889233590639
Union leader and union member,1.1705073795971497,-0.9392607661457183,0.15277107327963063,-0.6289618595085996,1.2322316937525104,0.1744813551152216,1.1789686783798234,-0.06095066917879224,1.3516734537498394,1.3062845501317535,0.24605919894523878,-0.11780261138771199,-0.16135225944919937,0.4501701361964695,0.3077932922492863,-0.2549504763655459,0.79985950507643,-0.23111582355912588,-0.5592526868781844,-0.9251671822889268,0.6669577499853312,0.7416212830415891,1.4356223011697986,0.5625765624117491,1.3547878376160232,1.174152335638872,-0.22231615861995235,0.051649411537437975,-0.046154156006276904,0.47242817943246956,0.48740794750718763,0.11096500956157565,-0.3743045427832537
Manager and Assistant,0.8864334666471303,-0.8239021964465777,0.5915255967332873,-0.7177468444239163,1.3843103816897104,0.30345406408146053,0.6931338922436957,-0.5574985018645776,1.3483919922776257,1.2544249436749528,0.69840081537447,-0.144612218633739,-1.054003341764206,1.3779200200733088,1.3058407533330896,0.35721727880225507,1.040210673869423,0.1541888394494021,-0.0679359536180814,0.11011552260097458,1.6709358514409005,0.20986142753474554,0.265281829781093,0.05591286726208611,1.3681576285097354,1.6063763679736536,0.32211119748905415,0.41690154199174023,1.4791709528161743,1.0373941377783211,0.1833737726539582,0.7320988983998907,-0.6003652818896493
Chief and Deputy,0.5145388571628486,-1.126148661737335,0.08994940287603892,-0.7946938313505242,1.3313000961801722,0.17131508566433212,1.254508151579054,-0.5088064450631372,0.8922688476399206,1.4382908211127006,-0.28787657952136914,-0.266274529878867,-0.3152719011645473,0.6785688717915155,1.132956973543798,0.0666962724000954,0.7222672753354173,-0.4879735787869916,-0.5797734109472927,0.3497027848793662,0.7482947647513716,0.14356058041048259,0.9716917156558029,0.7527278128768997,0.36346675671637824,1.3994337600438047,0.2603484301993767,-0.38718249592142645,0.7043914614606728,0.5988739409121782,0.5467946653129143,0.26544195404153426,0.36104833192488206
Supervisor and Subordinate,0.646807242278776,-1.4636922780403927,0.1335399496866943,-1.2658657182399626,1.562459701844716,0.2561711069481751,1.4032138957963887,-0.736209553006838,1.4714467974856398,1.0705590662372055,0.35649792338194974,-1.3629599257031852,-0.4142796707003656,0.8909140895341718,1.4622037152651377,0.10044046256077675,0.616224561356034,-0.3996978824795629,0.10207683976543519,0.1909065761599671,0.9479401646316525,0.5704117485628796,1.0384994723044194,0.37730098503544907,1.0802772751420184,1.5175424679842549,-0.07697129884424436,0.6201722928532648,0.9809675919445513,0.7855137993316801,0.05759906011055955,-0.08658723674452513,-0.1143878028994888
Boss and Secretary,0.6423334586645609,-1.3393341036129505,0.253734472142546,-0.8587582910541256,1.5463716706812503,0.17131508566433212,0.40055836297056563,-1.115177013448445,0.7774176961124412,1.0632730058259192,1.0344853867688197,-0.07578521523604366,-0.5321070989082817,1.0465551601188445,1.892037383409338,1.6070550412569808,1.8129354892847243,0.5967474773542923,0.18033669703721256,-0.5334270074723795,0.18332601161793746,0.4052121378115916,0.4696478525783349,-0.055821307690726414,1.1889955654295519,1.5166050972863143,0.37862614795019645,0.7272257305772115,1.0702947782546786,1.126824345430671,-0.8847264707794688,0.39497030741856864,-0.3267609293008166
Entrepreneur and Investor,1.338618135144044,-0.8091755705275384,0.8870503377371969,-0.7486663706391804,1.2065472931231165,0.44397611780665897,0.7395715000897597,-0.6800377263830059,1.7216582347419347,1.495293529036291,1.62473870008327,-0.32036408835769326,-0.5788640148638039,1.3087063642603096,2.1094688906420096,1.5599536114558896,0.8926468798083905,0.7612194778134457,-0.41335877192109927,-0.06818197490852612,1.8805429816650023,-0.0879240915490868,1.1397774951099566,1.0371420763931498,1.4256223666057455,1.3666257856159019,1.002029524575415,0.6299123496653798,0.17871365054098273,-0.29359178637821265,0.661510623310311,0.9484381011686541,-0.34954224409448426
Intern and Employee,-0.26253790539322264,-0.3530277728301185,0.02850842852527338,-0.8291316436813136,1.0444145141500683,0.3625577604980676,1.4547974601861413,0.1302216357388465,1.446835836444037,0.5991080984481095,0.06199465821738588,-0.7038904142383565,-0.29312730624672373,0.8798685942023559,0.49095506757277413,0.815324977515024,-0.03555016846846967,0.04413270173278747,-0.526363307205778,0.1909065761599671,-0.5249992300406428,0.09654725244964166,0.3125443158843389,-0.47806709891100607,0.5839052602322204,1.106685680533287,-0.7278558464354574,-0.28120644299830877,-0.27553059025373183,0.5511288608513756,0.06266381363579698,0.16598556315463153,-0.5631283258754327
