,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals involved,Affiliation/Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Guard and Prisoner,-1.948848379,-1.664943178,-0.558588437,-1.144367495,1.120894208,-1.213214325,0.066205429,-1.294628925,-1.972101656,-0.253234893,-0.219320579,-0.965037386,-1.185776026,-1.957231902,-1.332591876,-1.037175531,-0.686147314,-1.185442434,-0.674014179,1.703167815,-2.059566295,3.239984157,0.822013211,-1.053667652,-1.978244297,0.435689325,-1.450681277,-0.227516825,-0.939615955,0.532076709,-0.831155158,-1.659817056,-0.064907627
Nurse and Patient,1.008907811,0.199150814,-0.00685428,-0.198048713,0.817948682,-0.277574112,0.151878163,-0.21172949,-0.618691492,-0.499390848,0.596936465,-0.676151394,-0.021996361,0.167018328,-0.414182098,-0.172852415,1.419214002,-0.038897601,-0.500820523,-0.98533778,-1.190145191,-0.330459046,1.740400475,0.631642235,0.311244606,0.936980535,0.378277548,-0.725493362,0.34901164,0.828148534,0.708200024,0.692821201,0.075380562
Therapist and Patient,1.081689223,0.102852766,0.612566701,0.056052534,0.824439294,0.03513524,-0.866210547,-0.387670471,-0.008043256,-0.272848985,0.644479629,0.087139265,-0.11972637,0.843101383,0.475643584,-0.460325543,1.505117384,0.214754809,-0.509143355,-0.9543303,-0.677246151,-0.405260586,1.578303258,1.056537571,0.623304928,0.923888555,0.872499118,-0.075268179,0.915339307,0.782999685,0.789252951,1.013185947,0.234039216
Salesperson and Customer,0.190627542,0.457907313,-1.151842957,-0.874644503,0.889183407,-1.049887039,1.112913939,-0.981652297,0.580894832,1.219846083,2.293984245,-1.574972296,-0.90896356,-0.175259353,2.248791872,3.407205724,1.543046455,-1.084727451,-0.554065165,-0.643152623,2.0734511,-0.329831466,0.492510557,-0.705311406,-0.647214918,0.832534465,-0.042127917,-1.318889758,-0.140125743,-0.028993761,-0.384840527,-0.680163201,-0.214217988
Between Business Partners,0.305936572,1.500810877,0.730361051,-0.310039234,0.626332597,-0.311531108,-0.054623213,0.11667126,1.9569332,1.265405498,1.258989876,0.569596208,-0.522393837,0.898435786,2.061418647,1.358534983,0.675173197,-0.046924494,-0.472836884,0.012648364,2.27650145,-0.134907663,0.515232635,0.057027407,1.095498757,1.088150968,1.027903457,0.704244048,1.013527696,0.274285369,0.119795133,0.602279878,-0.472401935
Between opposing negotiators,-1.880864786,0.446640804,-0.997459802,-0.940351139,1.015739386,-1.253741432,0.105156898,-1.033154626,0.053221989,1.744308579,0.781785844,-0.520987259,-1.069584173,-0.537964025,0.488587469,0.543182141,-0.46217975,-1.259228655,-0.629392838,2.05903364,2.358199567,1.122887068,-0.252461788,-0.983770869,-1.673067591,0.500770161,-0.81130788,-1.055716907,-0.908801558,-0.897652971,-0.792807695,-1.575127237,-0.455283228
Between political opponents,-2.010585687,0.624991027,-0.393804385,-1.005538692,1.118165505,-1.014690179,1.331622817,-1.124836619,-0.320727234,2.005948734,-0.734912969,-0.516365361,-1.168609481,-1.081726636,-0.126135569,-0.881155564,-1.194459784,-1.271745358,-0.598885139,2.572068738,1.023988461,1.667992317,1.166314095,-0.615367148,-1.847227419,0.747283841,-0.367197938,-0.168590352,0.055273768,-0.918327324,-1.426474093,-2.121713336,-0.634618333
Between business rivals,-2.014128906,0.769715646,-0.580413588,-1.149594721,1.078126805,-0.990739678,0.470042116,-1.24206342,-0.570422222,1.985293265,0.459734069,-0.68108008,-1.104949839,-1.557720682,1.008978664,0.711130068,-0.437898908,-1.134507573,-0.560218096,2.421723694,1.277533438,1.607485078,0.497332828,-0.594281655,-1.451604477,1.075936444,-0.499921146,-0.165053751,-0.260983438,-1.213990791,-1.44707544,-2.069737029,-0.593955949
Between enemies,-2.493848436,0.449856047,-0.349806886,-0.331260035,-0.349761188,-0.927497131,-0.810434442,-1.291309547,-1.23704001,1.057637412,-0.800745228,-0.023928664,-1.015678949,-2.386612328,-0.802460468,-1.378588107,-1.663139922,-1.193363115,-0.571882401,2.859851207,-1.302846807,2.49035943,-1.351433561,-1.349397244,-2.183499959,-0.968406838,-1.390370395,-0.203591266,-1.460895834,-1.477308454,-2.526641555,-2.334356569,-0.843724594
Teacher and Student,0.863875078,-0.943369276,0.432538902,-0.474068183,0.950733621,-0.279888543,1.069268662,0.30505446,0.0212454,-0.140903589,0.184084825,-0.277978421,0.032231718,1.467433086,-0.944193599,-0.71630771,0.939342138,0.346844373,-0.335901592,-0.825085652,-0.373073069,-0.319885858,1.167460612,0.504412729,0.501327422,1.072995489,0.682298793,0.081477219,1.036215325,0.824724173,0.745179554,0.643182492,1.846541571
