,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Professor and Graduate student,78.6398550523551,39.4749562166229,63.8342519363353,39.9267960434627,77.3015219348553,33.5915646853147,73.694417311084,56.9499031061531,58.9683056141389,55.1155970572637,55.169546348713,55.9526491718158,41.3106771931772,85.4095255670256,27.1986574228241,33.073708976209,64.4815010298344,49.8957629099296,19.5788811805478,24.0357326623993,45.2787266437266,24.8016142499476,68.4579961704962,67.9679021595688,72.6499508207841,79.062771950272,72.6409978909979,54.2739787989788,74.9336626336626,72.9921859005192,83.9049624757958,79.546324971325,74.8285464535465,1
Master and Servant,55.4117872097039,27.3254028379028,55.6868942785609,35.524229011729,73.8987648925149,34.6171692505026,48.3352733686067,36.85644663978,48.8401943735277,55.009410959411,62.8246550517384,55.3441162541163,26.6023630381964,47.900537980538,64.2136109569443,46.310467372134,75.3429748954749,39.7654387279387,19.3927022977023,35.7381083731084,39.1263859597193,45.47391996892,38.5397035063702,52.1127724127724,39.6202490410824,62.4234538609539,57.457395690729,53.3190109273443,58.7818624276958,70.870504958005,49.1055974889308,53.8377264710598,54.8285256410256,1
Between Close Friends,87.076894324811,87.8974459953627,82.4109166296666,85.5818260443261,25.6920767504101,71.8209730855564,50.8566189212023,84.0302550073383,68.5538532455199,26.4991794470961,42.1402486402486,74.0433676200343,85.4214935373269,79.6997933547934,35.0106094214428,40.1073696365363,34.3169654727988,87.27372997373,36.4436860978528,20.1871776371776,49.6943270618271,16.9466260899594,64.3215289340289,87.1644144435811,88.0248211664878,26.2517072433739,80.1316197691198,89.9631495048162,82.0401809610143,80.7829449871116,88.135941681775,93.1947703531037,26.0344157385824,0
Between casual acquaintances,61.5321132571133,71.6096846055179,44.3740728407395,56.6065425315425,41.0343231614065,41.1612414591581,56.285467618801,54.028182388599,55.8507447799115,39.9884653155487,42.7759259259259,41.4266978391978,39.0122386872387,41.2878780170447,28.980661683995,33.5600589842256,29.5608228808229,36.4991741283408,27.4046075221075,24.5661778653445,35.327420665754,19.834384288551,46.6669293669294,49.698178364845,49.3274304399304,27.6874230707564,46.7840213798547,39.8890913099246,45.4368389326723,45.3715825840826,64.0655238280238,43.8577787952788,39.8659755368089,2
Between teammates in sports,73.8632392299059,78.1830584538918,70.9046590754924,45.2448434281768,59.7474613349613,41.2518427560094,85.3095436970437,61.637724621058,81.3434949309949,75.7318328276662,59.514542710376,44.9288339746673,41.4671496713163,77.4703102453102,34.3316348003848,37.8358385441719,48.4911636203303,52.7487974987975,18.908487654321,43.8871632996633,60.6244037598204,24.4775142295976,64.4566194607861,71.6218392718393,90.6604910521577,77.3223487931821,81.3037790912791,49.4813784980452,90.4062183187183,74.9307783266117,80.6297578964246,78.6487295112295,24.794050702384,1
Between second cousins,70.1645316103649,76.0201824410158,50.5571007696008,71.0885278301945,34.1259917551584,41.9255987839321,63.5333448958449,68.2285187035187,60.7614421072754,39.8656280447947,47.8202898952899,57.7490490219657,50.0997404601571,52.4664442039442,24.5125831729998,32.3186207311207,29.330589626423,47.7207311207311,23.0875851771685,32.0344386323553,39.5500250521084,17.9781475468975,45.2242758784425,55.2979707021374,54.0506609131609,22.7388743972077,51.9221605554939,73.7978368853369,55.0620963912631,36.20546999297,74.7132065465399,57.1832736707737,37.2885984385984,0
Parent and Infant,87.6719202094202,35.697311022311,91.1498920832254,89.5443443901777,29.3574635241302,80.2731125356125,60.8580558330558,89.5234111567445,49.9869807661474,28.3624588374588,49.4683708267042,85.9106341189675,99.7493195847363,84.7550655363155,29.9810175164342,36.1601721580888,44.7170905483405,98.1371723184223,61.6371352413019,23.7702691598525,36.5272136042969,22.5510111030944,81.6276404151404,90.3427011260345,84.6870231620232,28.1957608749275,84.938799317966,94.8941959275293,80.1423207964875,91.5648880440547,90.6022030438697,96.9345333678667,74.0326002701003,0
Grandparent and Grandchild,87.3909201909202,39.7213497921831,79.4252842836176,86.7540462623796,30.2291822375156,71.8784147950815,63.5293803418803,85.8704272579273,48.4153041403041,27.6542012000345,48.3718793552127,82.1552388969056,94.0671226150393,80.1085197210197,29.7903719737053,38.0056327160494,39.8515532307199,90.1433251162418,51.23781665865,21.0756353214687,38.3296045775212,19.3869909411576,73.9797631380965,83.9310327018661,77.0051488634822,24.7475086641753,76.6181192264526,92.2152366152366,70.9867421159088,71.4848554223554,87.7313633896967,90.7816057399391,90.2920069128402,0
Step-parent and Step-child,64.6591627508294,32.0318487068487,67.2266059557726,69.9511534761535,37.0423776840443,57.8624822708156,56.7754862421529,73.1821567321568,45.3270359270359,37.6604381729382,44.4047212047212,67.1832862353696,69.8201549222383,65.3032497594997,30.9893889289723,37.0710948773449,36.702566337983,69.59806998557,31.038949013949,39.9705166746833,38.2936968895302,29.2998136123136,65.9705518247185,73.7906718281718,65.831655689989,25.1773861940529,67.1320639237306,75.7244727494728,65.7271510896511,74.2690926357593,78.1982478940812,71.8512448970782,69.1191650941651,0
Foster-parent and Foster-child,69.7583048124715,33.5858283691617,74.603556320223,73.3683295099962,36.0251920918588,58.3375914209248,57.1870720329054,75.6145158853492,45.1658477325144,33.2709822584823,42.8582197123864,65.3642977392978,70.9129739858907,68.4303411095078,33.2208193041526,34.9685004810005,41.0987373737374,73.2774861712362,28.7602603415103,32.7504709796376,38.9860429693763,27.0067480359147,68.8483997483997,77.0485881402548,67.4348947348947,31.373343631677,72.4470127095127,74.1091359258026,67.1191442816443,78.9367843576177,80.5397059730393,74.6986234444568,71.6693442360109,0
