,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
144,39,2,1,,6,Hebrew,male,White,Short-cycle tertiary education
145,36,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
146,64,1,1,,5,hebrew,female,White,Post-secondary non-tertiary education
147,32,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
148,56,2,1,,6,עברית ,male,White,Short-cycle tertiary education
149,34,1,1,,6,Russian,female,White,Short-cycle tertiary education
150,49,2,1,,7,hebrew,male,White,Bachelor or equivalent
151,22,1,1,,4,עברית,female,White,Upper secondary education
152,28,2,1,,4,עברית,male,White,Upper secondary education
153,69,2,1,,7,English,male,White,Bachelor or equivalent
154,51,1,1,,7,עברית,female,White,Bachelor or equivalent
155,43,2,1,,5,רוסית,male,White,Post-secondary non-tertiary education
156,25,2,1,,5,עברית(hebrew),male,White,Post-secondary non-tertiary education
157,43,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
158,30,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
159,25,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
160,28,1,1,,6,עברית,female,White,Short-cycle tertiary education
161,43,1,1,,5,Hebrew ,female,White,Post-secondary non-tertiary education
162,28,1,1,,4,עברית,female,White,Upper secondary education
163,24,1,1,,4,עברית,female,White,Upper secondary education
164,30,2,4,Russian - ????,4,עברית ורוסית russian and hebrew,male,"East Asian Chinese, Japanese, etc.",Upper secondary education
165,33,2,1,,4,עברית,male,White,Upper secondary education
166,27,1,1,,5,עברית ,female,White,Post-secondary non-tertiary education
167,42,2,1,,5,hebrew,male,White,Post-secondary non-tertiary education
168,19,1,1,,4,עברית,female,White,Upper secondary education
169,77,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
170,31,2,1,,6,עברית,male,White,Short-cycle tertiary education
172,27,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
173,57,1,1,,6,עברית ואנגלית,female,White,Short-cycle tertiary education
174,26,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
175,22,2,1,,4,עברית ,male,White,Upper secondary education
176,24,1,1,,4,עברית,female,White,Upper secondary education
177,61,1,1,,6,עברית,female,White,Short-cycle tertiary education
178,35,2,1,,4,עברית,male,White,Upper secondary education
179,23,2,1,,4,עברית,male,White,Upper secondary education
180,25,1,1,,5,"עברית, אנגלית",female,White,Post-secondary non-tertiary education
181,34,2,1,,5,רוסית,male,White,Post-secondary non-tertiary education
182,27,1,1,,5,Hebrew,female,White,Post-secondary non-tertiary education
184,26,2,1,,4,רוסית,male,White,Upper secondary education
185,26,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
186,25,2,1,,4,עברית,male,White,Upper secondary education
187,22,1,1,,4,עברית,female,White,Upper secondary education
188,22,1,1,,4,רוסית,female,White,Upper secondary education
190,44,1,1,,7,רוסית,female,White,Bachelor or equivalent
191,28,1,1,,6,עברית,female,White,Short-cycle tertiary education
192,52,1,1,,7,אנגלית+עברית,female,White,Bachelor or equivalent
193,24,2,1,,4,עברית,male,White,Upper secondary education
194,25,2,2,,6,Arabic,male,Black,Short-cycle tertiary education
195,29,1,1,,6,עברית,female,White,Short-cycle tertiary education
