,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
93,29,2,6,,8,espa?ol,male,Master or equivalent
95,20,2,4,,7,Espa?ol,male,Bachelor or equivalent
96,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
97,24,1,4,,8,Espa?ol,female,Master or equivalent
98,31,2,6,,7,Espa?ol,male,Bachelor or equivalent
99,22,2,4,,7,English,male,Bachelor or equivalent
101,20,2,6,,4,Espa?ol,male,Upper secondary education
102,48,1,4,,6,Espa?ol,female,Short-cycle tertiary education
103,23,2,4,,4,Espa?ol,male,Upper secondary education
104,24,1,4,,4,Espa?ol,female,Upper secondary education
105,26,2,6,,7,Espa?ol,male,Bachelor or equivalent
106,24,1,5,,8,espa?ol,female,Master or equivalent
107,24,1,6,,8,Espa?ol,female,Master or equivalent
108,19,1,4,,4,espa?ol,female,Upper secondary education
109,53,2,4,,6,Espa?ol,male,Short-cycle tertiary education
110,30,2,6,,8,Espa?ol,male,Master or equivalent
111,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
112,21,2,4,,7,Espa?ol,male,Bachelor or equivalent
113,26,2,6,,6,Espa?ol,male,Short-cycle tertiary education
114,22,2,4,,7,Spanish,male,Bachelor or equivalent
115,20,1,7,latina,7,espa?ol,female,Bachelor or equivalent
116,28,1,4,,8,Espa?ol,female,Master or equivalent
117,23,2,4,,8,Espa?ol,male,Master or equivalent
118,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
119,19,2,6,,4,espa?ol,male,Upper secondary education
120,29,2,4,,8,Espa?ol,male,Master or equivalent
121,28,1,4,,8,Espa?ol,female,Master or equivalent
122,25,1,4,,7,Espa?ol,female,Bachelor or equivalent
124,23,1,5,,4,Espa?ol,female,Upper secondary education
125,27,2,4,,6,Espa?ol,male,Short-cycle tertiary education
126,31,2,4,,7,espa?ol,male,Bachelor or equivalent
127,25,1,7,Latina,8,epa?ol,female,Master or equivalent
128,23,2,4,,8,Espa?ol,male,Master or equivalent
129,26,1,4,,8,Espa?ol,female,Master or equivalent
130,28,2,4,,8,Espa?ol,male,Master or equivalent
131,21,1,4,,7,Espa?ol,female,Bachelor or equivalent
132,23,2,6,,4,Espa?ol,male,Upper secondary education
133,30,2,4,,7,Espa?ol,male,Bachelor or equivalent
134,31,2,6,,8,Espa?ol,male,Master or equivalent
135,26,2,4,,8,espa?ol,male,Master or equivalent
136,31,2,6,,7,Espa?ol,male,Bachelor or equivalent
138,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
139,24,1,4,,8,Espa?ol,female,Master or equivalent
140,60,2,6,,8,Espa?ol,male,Master or equivalent
141,26,2,4,,8,English,male,Master or equivalent
142,25,2,4,,8,Espa?ol,male,Master or equivalent
143,33,1,4,,8,Espa?ol,female,Master or equivalent
144,44,1,7,latino,8,espa?ol,female,Master or equivalent
145,25,2,6,,8,espa?ol,male,Master or equivalent
146,28,2,4,,6,Espa?ol,male,Short-cycle tertiary education
147,23,1,4,,7,Espa?ol,female,Bachelor or equivalent
148,30,2,4,,7,Espa?ol,male,Bachelor or equivalent
149,25,2,6,,7,Espa?ol,male,Bachelor or equivalent
150,36,2,4,,8,Espa?ol,male,Master or equivalent
151,21,2,4,,7,Espa?ol,male,Bachelor or equivalent
152,33,2,4,,7,Espa?ol,male,Bachelor or equivalent
153,31,2,4,,8,espa?ol,male,Master or equivalent
154,41,1,4,,8,Espa?ol,female,Master or equivalent
155,25,2,4,,8,Espa?ol,male,Master or equivalent
156,24,2,6,,7,espa?ol,male,Bachelor or equivalent
157,26,1,6,,8,Espa?ol,female,Master or equivalent
158,19,1,3,,4,Espa?ol,female,Upper secondary education
159,19,2,4,,7,Espa?ol,male,Bachelor or equivalent
160,29,2,4,,8,castellano ,male,Master or equivalent
161,22,1,4,,6,Espa?ol,female,Short-cycle tertiary education
162,27,1,7,Latino,8,Espa?ol ,female,Master or equivalent
163,27,1,6,,8,Espa?ol,female,Master or equivalent
164,21,2,6,,7,Espa?ol,male,Bachelor or equivalent
166,35,2,4,,6,ingles,male,Short-cycle tertiary education
167,30,2,6,,8,Espa?ol,male,Master or equivalent
169,28,1,6,,8,Espa?ol,female,Master or equivalent
170,22,2,4,,7,Espa?ol,male,Bachelor or equivalent
171,23,2,6,,8,Espa?ol,male,Master or equivalent
172,24,2,4,,7,espa?ol ,male,Bachelor or equivalent
173,28,2,6,,6,espa?ol,male,Short-cycle tertiary education
174,40,2,4,,8,Espa?ol,male,Master or equivalent
176,20,1,6,,7,Espa?ol,female,Bachelor or equivalent
177,32,2,4,,8,Espa?ol,male,Master or equivalent
178,29,1,4,,8,Espa?ol,female,Master or equivalent
179,22,1,4,,4,Espa?ol,female,Upper secondary education
180,28,2,4,,8,Espa?ol,male,Master or equivalent
181,27,2,4,,8,Espa?ol,male,Master or equivalent
182,28,2,4,,6,Espa?ol,male,Short-cycle tertiary education
183,40,2,6,,8,Espa?ol,male,Master or equivalent
184,48,1,6,,7,Espa?ol,female,Bachelor or equivalent
186,28,1,6,,8,Espa?ol,female,Master or equivalent
187,54,2,4,,6,espa?ol,male,Short-cycle tertiary education
188,23,1,4,,8,Espa?ol,female,Master or equivalent
189,25,1,4,,8,espa?ol,female,Master or equivalent
190,37,2,6,,8,espa?ol,male,Master or equivalent
191,21,2,4,,7,Espa?ol,male,Bachelor or equivalent
192,21,2,4,,4,Espa?ol,male,Upper secondary education
193,34,2,4,,7,Espa?ol,male,Bachelor or equivalent
194,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
195,23,1,4,,7,Espa?ol,female,Bachelor or equivalent
196,25,2,4,,8,Espa?ol,male,Master or equivalent
198,24,2,4,,8,Espa?ol,male,Master or equivalent
199,21,2,6,,4,Espa?ol,male,Upper secondary education
200,22,2,7,Latino,7,Espa?ol ,male,Bachelor or equivalent
201,23,2,6,,7,English,male,Bachelor or equivalent
202,24,1,4,,6,espa?ol,female,Short-cycle tertiary education
203,25,2,7,Latino,7,espa?ol,male,Bachelor or equivalent
205,27,2,4,,7,Espa?ol,male,Bachelor or equivalent
207,25,2,6,,8,Espa?ol,male,Master or equivalent
208,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
209,20,2,4,,7,Espa?ol,male,Bachelor or equivalent
210,25,2,4,,4,Espa?ol,male,Upper secondary education
211,26,2,4,,7,espa?ol,male,Bachelor or equivalent
212,24,1,4,,8,espa?ol,female,Master or equivalent
213,24,2,4,,8,Espa?ol,male,Master or equivalent
214,23,1,6,,5,Espa?ol,female,Post-secondary non-tertiary education
215,23,1,4,,5,espa?ol,female,Post-secondary non-tertiary education
216,24,2,6,,7,Espa?ol,male,Bachelor or equivalent
217,21,1,6,,4,espa?ol,female,Upper secondary education
218,24,2,6,,6,eSPA?OL,male,Short-cycle tertiary education
219,27,2,4,,8,Espa?ol,male,Master or equivalent
220,28,1,4,,8,espa?ol,female,Master or equivalent
221,23,1,4,,7,Espa?ol,female,Bachelor or equivalent
222,28,1,4,,8,Espa?ol,female,Master or equivalent
223,24,2,3,,8,Espa?ol,male,Master or equivalent
224,23,2,3,,8,espa?ol,male,Master or equivalent
225,27,2,6,,8,Espa?ol,male,Master or equivalent
226,21,2,4,,7,Espa?ol,male,Bachelor or equivalent
227,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
228,25,2,4,,8,espa?ol,male,Master or equivalent
229,30,1,4,,8,Espa?ol,female,Master or equivalent
230,41,2,6,,8,espa?ol,male,Master or equivalent
231,36,2,4,,8,Espa?ol,male,Master or equivalent
232,20,2,4,,7,Espa?ol,male,Bachelor or equivalent
233,19,2,6,,4,Espa?ol,male,Upper secondary education
234,25,2,4,,7,Espa?ol,male,Bachelor or equivalent
236,23,2,6,,7,Espa?ol,male,Bachelor or equivalent
237,34,2,4,,8,Espa?ol,male,Master or equivalent
238,29,2,4,,8,espa?ol,male,Master or equivalent
240,23,2,6,,4,Espa?ol,male,Upper secondary education
241,26,2,4,,5,Espa?ol,male,Post-secondary non-tertiary education
242,27,2,4,,8,Espa?ol ,male,Master or equivalent
243,20,2,6,,4,Espa?ol,male,Upper secondary education
244,35,1,4,,5,espa?ol,female,Post-secondary non-tertiary education
245,23,2,4,,7,Espa?ol,male,Bachelor or equivalent
246,24,1,4,,7,Espa?ol,female,Bachelor or equivalent
247,22,1,6,,8,Espa?ol ,female,Master or equivalent
248,33,1,4,,6,Espa?ol ,female,Short-cycle tertiary education
249,23,2,6,,5,Espa?ol,male,Post-secondary non-tertiary education
250,25,2,6,,7,Espa?ol,male,Bachelor or equivalent
