,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Highest education_label
68,23,1,1,,5,Português,female,Bachelor or equivalent
69,24,1,1,,5,Português,female,Bachelor or equivalent
70,23,2,1,,5,Português ,male,Bachelor or equivalent
71,32,2,1,,6,Portugues,male,Master or equivalent
72,21,1,1,,3,português,female,Lower secondary education
73,23,1,1,,6,Português,female,Master or equivalent
74,34,2,1,,6,Portuguesa,male,Master or equivalent
75,22,2,1,,4,Português ,male,Lower secondary education
76,23,1,1,,3,Português,female,Lower secondary education
77,22,1,1,,5,Português,female,Bachelor or equivalent
78,36,2,1,,6,Português,male,Master or equivalent
79,22,2,1,,5,Português,male,Bachelor or equivalent
80,18,2,1,,3,portugês,male,Lower secondary education
81,29,1,1,,5,Português,female,Bachelor or equivalent
82,23,1,1,,6,Português,female,Master or equivalent
83,40,2,1,,6,Portuguesa,male,Master or equivalent
84,20,2,1,,4,Português,male,Lower secondary education
85,28,1,1,,5,Português,female,Bachelor or equivalent
86,21,2,1,,5,Português,male,Bachelor or equivalent
87,22,1,1,,5,português,female,Bachelor or equivalent
88,29,2,1,,4,Português ,male,Lower secondary education
89,21,2,1,,4,Português ,male,Lower secondary education
90,33,2,1,,6,Português,male,Master or equivalent
91,22,1,1,,5,portuguese,female,Bachelor or equivalent
92,29,2,1,,4,Frances ,male,Lower secondary education
93,22,2,1,,3,Português,male,Lower secondary education
94,30,1,1,,6,Portuguesa,female,Master or equivalent
95,27,2,1,,6,Português,male,Master or equivalent
96,20,1,1,,5,Portuguesa,female,Bachelor or equivalent
97,24,2,1,,5,Português,male,Bachelor or equivalent
98,23,1,1,,3,Português,female,Lower secondary education
99,45,2,1,,3,Português,male,Lower secondary education
100,22,2,1,,6,Portuguese,male,Master or equivalent
101,20,1,1,,4,portugues,female,Lower secondary education
102,26,2,1,,4,Português,male,Lower secondary education
103,22,1,1,,5,Português,female,Bachelor or equivalent
104,24,1,1,,5,português,female,Bachelor or equivalent
105,24,2,2,Indiano,5,Português,male,Bachelor or equivalent
106,22,2,1,,5,Ucraniano,male,Bachelor or equivalent
107,20,2,1,,5,Português,male,Bachelor or equivalent
108,20,2,1,,3,português,male,Lower secondary education
109,43,1,1,,5,português,female,Bachelor or equivalent
110,23,1,1,,5,Português,female,Bachelor or equivalent
111,22,1,1,,5,Portuguese,female,Bachelor or equivalent
112,19,1,1,,5,Português ,female,Bachelor or equivalent
113,24,2,1,,5,Português,male,Bachelor or equivalent
114,42,2,1,,7,Portugues,male,Doctoral or equivalent
115,23,2,1,,5,Português,male,Bachelor or equivalent
116,23,2,1,,5,Portuguese,male,Bachelor or equivalent
117,24,2,1,,5,portugues,male,Bachelor or equivalent
118,25,2,1,,6,Portuguesa,male,Master or equivalent
