"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Step.grandparent.and.Step.grandchild",63.6072570947571,33.2805142388476,59.5374444999445,68.763632355299,38.2979868896536,54.1926138676139,57.1309252475919,69.6726501893169,45.3343013468013,33.1053001011334,41.4757258173925,61.6988025092192,63.2062139249639,59.1391033349367,25.9057018598685,35.040842953343,31.9066277857945,64.5719296135963,29.1822099967933,25.178674643258,35.8904972342472,22.7316408128908,55.201404305571,65.1463383838384,60.2284869451536,23.3079990996658,58.4925074925075,69.9129692838026,57.7670647253981,55.7814418606085,76.1125863334197,67.46770667604,87.5321682946683
"Ancestor.and.Descendant",74.229012345679,31.2388808722142,50.6728254769921,62.6145683020683,47.9555715889049,37.3978535353535,62.5839786756453,61.0414582331249,42.5722883597884,31.7276434984768,37.3890171556838,64.412037037037,55.9549943883277,53.7485890652557,26.1138688472022,30.4494789161456,29.3950937950938,51.2952761744428,46.3864157447491,27.9542448292448,29.3189554272888,22.2574615199615,64.5570580653914,68.8773251439918,67.5778588695255,29.6175619133952,48.5729714729715,83.0811879478546,41.8759065009065,45.0563088146422,81.2115823990824,68.4944401277734,90.6662866454533
"Bride.and.Groom",86.6037177328844,86.2449815616482,88.7869027577361,85.1347001763668,26.2401214526214,90.2417207792208,65.8481341189675,88.0243085618086,72.3830607663941,31.6626382876383,53.1214365881033,86.092778980279,98.7005812089145,90.1213123296456,43.5996392496393,48.441201699535,43.9845819304153,97.3012926887927,91.4096620971621,35.2595658970659,62.1170153920154,23.5521544813211,67.8327417952418,90.1166398416398,84.1841360799694,30.7056192264526,88.3313143646477,79.0185006351673,83.441831625165,88.5100246975247,89.1911355619689,90.9297497255831,27.6474918599919
"Man.and.His.Mistress",65.3141915183582,52.5897667147667,65.359285313452,72.9335798460798,29.0753787878788,81.3399871733205,16.9659872534873,46.2462602212602,58.9498737373737,48.6724346641013,55.3759219175886,68.9486251402918,74.8565035273369,64.8934644059644,52.5776394901395,50.754341029341,49.2081248997916,70.5935265351932,79.5324915824916,42.6109928651595,56.6362594195928,31.7561487894821,31.7204568579569,58.3033904367238,55.8908668492002,26.1321972780306,71.7722152847153,44.760775644109,64.5329371246038,62.7224098432432,26.8992657034324,53.1761634969968,30.4710587252254
"Man.Wife.and.Man.Mistress",36.6056978515312,42.8986531986532,43.4222703222703,54.7869488536155,42.9416105499439,39.4063091229758,25.9686808561809,35.6372835497836,39.1366362033029,53.811209315376,44.6150012025012,66.0020923520923,48.2156244989578,42.0953242744909,31.5079004329004,38.6712381754048,28.8994047619048,39.9287678371012,41.2333994708995,71.5467432259099,36.1340327881994,40.3171556838223,32.4398498106831,46.1412302203969,38.9813607688608,23.103575282742,46.2876217917885,38.4515815974149,46.4100766517433,44.8092606467606,33.1112991946325,35.2628047878048,31.870901629235
"Brother.and.Sister",72.2986131152798,73.1143318101651,78.9520703062369,78.3287898829565,25.8126062209396,51.8707070707071,71.6706128747795,77.1301727593394,65.3718995510662,30.6622815456149,46.7442320025653,82.8877284752285,86.2320586820587,80.464265672599,31.8058521725188,42.926114317781,36.4931417348084,84.8225629308963,20.7969416386083,39.5242825076158,48.6630010421677,25.2941017316017,70.104189637523,86.4101000851001,78.3444116069116,30.404812625646,73.4990803949137,91.9852408394075,72.5808242683243,77.4189352314352,89.0058427683428,86.9837321628988,38.2289167622501
"Between.step.siblings",51.6106661856662,60.3805816097483,55.0431116722783,60.6653439153439,34.7243025493025,38.0773909732243,62.0457671957672,62.0717612634279,54.9965267756934,37.0595518678852,42.8794853294853,66.021937630271,62.046639009139,62.1486431778098,25.8473965848966,36.9240079365079,30.7061548019881,59.8198212281546,19.955942360109,46.448088023088,42.3210578002245,25.6020202020202,53.8556250847918,66.9562473020806,56.6616553199887,25.8038284246618,55.3220329053662,68.9372467039134,57.2293536710203,61.780773701607,77.4602158643825,64.3401732526733,38.9893715852049
"Between.distant.relatives",54.7984267275934,57.6071608946609,31.8559163059163,49.869081689915,51.2862433862434,29.3997935706269,58.0755832130832,44.1961079044412,48.7923080006413,44.4781986531986,43.175176366843,49.9619568702902,46.016822991823,39.5506192881193,24.3821628988296,33.189271685105,26.7632736091069,39.9223084014751,23.1075857784191,35.5233886483886,33.8736552028219,21.159754288921,43.4522654814321,50.2639496306163,45.068703981204,26.879479625313,41.6234558651225,66.9033415658416,43.6366030574364,32.9902762361096,73.9468082843083,51.9063228438228,60.1562432937433
"Between.close.relatives",76.7903519320186,66.0796015712682,75.1499799583133,78.5275953984287,29.7369508577842,47.7985770402437,66.9457471540805,74.2071047779381,64.3869588744589,35.6209235209235,50.0125260541927,73.5337582170916,81.102898027898,75.0023108064775,32.166195687029,41.6709595959596,36.7344897386564,77.665562369729,25.7288179413179,35.9415844957512,45.7469977553311,22.0953864037197,66.299601632935,81.1111186652853,72.8454795204795,28.7008967883968,69.9752440460774,87.6392903392904,67.5351054809388,68.4317352400686,85.8992277783945,79.7145622895623,56.1916268916269
"Between.twins",77.0576278659612,88.2466490299824,87.901455026455,83.1716931216931,23.6233686067019,73.2872574955908,59.0270723104056,86.2380070546737,65.9345679012346,24.3994708994709,40.2825837742504,89.8483146483147,90.2890503015503,83.4173964923965,19.7395951270951,30.8599641099641,23.6983275983276,95.2618913493914,25.7799048174048,32.7211828863145,45.880685980686,19.1514938764939,45.53768669602,84.7648552065219,82.5282040490374,20.9365393865394,79.0113209321543,93.7548294298294,78.5712634587635,86.7954400537734,87.5339156214156,92.7610906069239,22.5849170890838
