,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation_Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Guard and Prisoner,-1.4114511373853165,-1.4005761378193262,-0.2686606745455596,-1.346914317333277,1.0015507370644354,-0.533278971404565,-0.05786492716010753,-0.3832778631994365,-1.9734042249518329,-0.21121801528546102,1.3462202643973566,-0.874750408617625,-1.2444240580407548,-0.972574596305946,-0.7622824746588288,-1.2440566325739293,0.5917980272467405,-1.1104713844586878,-0.5000773809951707,2.205752796511139,-2.5445701636903237,2.7060813222831497,0.6931136469710647,-0.7985894396882754,-2.052690873234622,1.1209071676817215,0.05634171197428675,-0.2697378071112816,-0.4685762645631966,0.6559952246679571
Nurse and Patient,0.987924553463938,-0.18646310806761437,-0.4964415038991853,-0.6980015673168412,1.0485994507011513,-0.2677426143922958,-0.1635050718278344,-0.6004975190415527,-1.7310970742337324,0.1636677071195983,1.4906069647099682,-0.856851834020964,-0.15030997116819955,0.9458184475730889,0.16426037793306758,-0.6642561500197992,1.6680493091452289,0.1780017439683753,-0.40365378674618646,-0.6006572927410302,-0.2889435212823982,-0.14339969041306863,1.779008392300965,0.2882762517761648,0.3936206187358934,1.0603635446197135,-0.06060373919367374,-0.8238111153305508,0.9509834752920814,0.7364028406050857
Therapist and Patient,0.6459627984574469,-0.2978303468645004,0.41711797211802965,-0.30312980456380256,1.0957763624676677,0.0567232143903105,-2.161882037909484,-0.8388624511160871,-0.2671580386452074,1.0955896946743584,-0.13827079339298776,-0.29497089556446116,-0.2117850466314313,1.3590307421665189,1.4680664595339004,0.15211281817746578,1.5202212943652704,0.15694632240497702,-0.22520752466202734,-0.9679531886031348,0.38743420642726856,-0.6224375534002383,0.7310541609817046,1.0088501908686114,-0.09290676242682169,1.0548888553002764,0.9342924887572817,0.07083801410449302,1.0857173814415926,0.5623059935983563
Salesperson and Customer,-0.6260746943392219,-0.17986695167619907,-1.3706003884799853,-0.8514491435162085,1.0735553533022792,-1.0057418844260404,1.3276905301238502,-1.481184543422926,-0.5690323639148412,1.4868688444036235,2.4621581515592377,-1.8567104359066913,-1.2138092359715382,0.3788986037555442,2.0318340949593243,3.257212534285919,1.4542698741217555,-1.1462433502565448,-0.41073384086936365,-0.5969346992018872,1.7930563865614517,-0.33847530742271636,0.19305638836788883,-1.0574622992881544,-1.6210237725883683,1.1125171639259284,-0.94225579464215,-1.5537635846788191,0.78572732503103,0.7894216123636304
Between Business Partners,0.5961941803450383,1.1342262679440607,0.1317892399383475,-1.1581869137855079,1.0455766737458596,-0.4935035431487308,0.6690722049175242,-0.1917689409581019,1.4366969586740688,1.6151930961988992,1.4524301422544303,0.22085930911737198,-0.6985974398564234,1.2783681138189713,1.9798152333916188,1.3501649657872457,0.9111084583926745,0.2910525944798142,-0.6654838628293966,0.23551855012696227,1.969785771252636,-0.655820928554585,1.236606695387437,0.953394255360026,1.2180580089612147,1.1972307776056363,1.1914005027221348,0.32875488024792915,0.748519256018867,0.16129993130476256
Between opposing negotiators,-2.24476443690496,0.971335921688691,-1.035695361270458,-0.9431456951117092,1.2567143223400643,-0.7284313234156317,0.30175333627236495,-1.0961111325532626,-0.07028347868675044,1.4251194579970354,0.7111635062427335,-0.3013284756187751,-0.8878889426930058,0.17182843366871847,1.123056304507593,0.12876015189728762,0.03906231472966238,-1.2265890862977078,-0.6633400576212917,1.9679322492676066,1.8189625011848582,1.1903844040230813,0.22321564989865933,-1.1702538924833268,-1.8803532079171281,0.9180216223143536,-0.5572533810760922,-1.1127169152832468,0.08807603105297634,-0.3063834285795529
Between political opponents,-2.499828604731055,1.1394374142122923,-0.20968533503822606,-0.780132555720693,0.7834857182740977,-0.838557658750259,1.5230885745175196,-0.765309265369828,-0.9548599039044323,1.2399436048503476,-0.14327013919073694,-0.36140760713204206,-1.0107069984159949,-0.4387400802343553,-0.02132415471564432,-1.0937503392532826,-0.2216518934204829,-1.3221141470632598,-0.700813772658965,2.420265349921834,0.7309234309159124,1.954596162782864,0.5628062775314768,-0.7361396983002636,-2.169068798580792,0.8489362570928879,-0.13359348228855497,-0.7375979559795877,0.10333715310874637,-0.9722589980589005
Between business rivals,-2.511184539419402,1.3264256038370752,-0.8415639726167999,-1.234475830211752,0.8589999905582144,-0.9288715459055259,0.3608362297667042,-1.1286771194780567,-1.434523217886057,1.2403708680094312,0.13373906660272056,0.3065555147619906,-1.0500916913904557,-1.4222796778660105,0.9060810795335417,-0.23680439239272497,-0.6345843349005267,-1.5074267254293094,-0.6078042195460693,2.0716330692865887,1.4047886865117793,1.2025060036573392,-0.18891663762755354,-1.238139542534668,-1.4877433390371588,0.7978826066933769,-1.1260111950547218,-0.38255463780138915,-1.450061479722848,-1.7088501940543837
Between enemies,-2.583605778553609,0.7828941485697335,0.20304778537669432,0.1034160090844037,-0.8534384958138427,-0.7223203410226472,0.00044790581296307947,-0.9885270686052822,-1.3524921512367,0.014980127758621451,-0.23591535851965253,-0.050998760980161754,-1.300046299873107,-1.9527545017688441,-0.9932807752775019,-1.5573976705367971,-1.4485740365370052,-1.2509484800861836,-0.5351405061766196,2.2964564470877424,-0.9145036006980597,2.0077605048507623,-1.6923624679456142,-1.1828955405375803,-1.9349274963962353,-0.9419320385785569,-0.879747387550296,0.10863617552206559,-0.2141171347069907,-0.8400503218545832
Teacher and Student,0.6555248246225627,-1.0596267576891039,0.28624695194254796,-0.8933914810107022,1.1221485491694472,-0.658098537823769,1.1424284073413804,0.392561544746387,-0.2896219307430311,0.23618036897544425,0.15044142642701852,-1.0249899590198992,-0.05857805945345185,1.1450582330767989,-0.36075757502481276,-0.41916435725069173,1.051691413051966,0.42514389933678576,-0.5526720687673439,-0.06667783950482464,-0.33089013427536595,0.20807568214692262,1.4978762451683196,0.630548872845077,0.11854552246312737,1.0904743358766165,0.6548272561867887,-0.214098253870686,0.5127712562621162,1.0027530683968253
