code1,Country,InterdependentSubsistenceStyleComposite1990,InterdependentSubsistenceStyleComposite2000,HistoricalDiseasePrevalence7Items,ZIndividualismHofstede,Continent,Continent7,Continent8,Continent9,Continent10,LanguageFamilies,TightnessGelfand2021,TightnessGelfand2021ControllingPercentMuslim,TightnessControllingPercentMuslim,TightnessImputed,RelationalMobility,RelationalMobilityImputed,PercentMuslim,PercentMuslimSquared,RiceHarvestedAreaPerCerealProduc,RiceHarvestedAreaPerCerealProducSquared,RiceHarvestedAreaPerCerealProducBins,TotalPopulation,PopulationDensity,PopulationDensityLog,InternationalTrade,PopulationOver65,FreedomIndex,GiniInequality,GDPPerCapita2011PPP,GDPPerCapita2011PPP10k,LogGDPPerCapita2011PPP,GDP_2018,PercentPastureLand1961,ProportionPastureLand1990,MedianAge_2020_UN,Pop_Density2020_UN,Population_2020_UN,Region,PercentUrban,GlobalCollectivismIndex,filter_$
55,Egypt,0.601,0.601,0.76, ,1,1,1,1,1,2, , , , ,-0.194,-0.194,92.35,8528.5225,0.226603383,0.051349093,2,89543.27,89.95254649,4.49928227,42.62479882,5.005984783,28,0.425726473, , , ,12412.3094, , ,24.606,102.8021528,102941,Middle East & North Africa,42.704,0.79,1
55,"Egypt, Arab Rep.", , , , , , , , , , , , , , , , , , , , , ,89543.27, , , , , , , , , , , , , , , , , , , 
56,El Salvador, , ,0.42,-1.02,6,5,5,5,5,3, , , , , , ,0.1,0.01,0.02,0.0004,0,6284.137,303.288528,5.71468459,75.59478055,7.570344925,72.2,0.407312989, , , , ,28.97, , , , , , ,0.1, 
57,Equatorial Guinea, , ,0.93, ,1,1,1,1,1,1, , , , , , ,10,100,0.01,0.0001,0,1101.67,39.27519786,3.670593222,110.7627205,2.661864758,7.5,0.519305468,24543,2.4543,10.10818196, ,3.71,0.05, , , , , ,0.95, 
58,Eritrea, , ,0.37, ,1,1,1,1,1,2, , , , , , ,43.8,1918.44,0,0,0,3293.24,31.36741584,3.445769642,37.61246573,4.256955147,3.5, , , , , ,68.32,0.4, , , , , , , 
59,Estonia,0.178, ,-0.78,0.65,3,3,3,3,3,11,-0.469581699,-0.394708719,-0.394708719,-0.469581699,-0.024,-0.024,0.1,0.01,0,0,0,1322.859,30.72157275,3.424965103,151.243665,18.42676353,94.5,0.325048357, , , ,35973.77646,5.83, ,42.424,31.29367775,1301,Europe & Central Asia,68.88,-1.37, 
60,Ethiopia,-0.26,-0.052,0.77, ,1,1,1,1,1,2, , , , , , ,33.9,1149.21,0,0,0,96928.41,96.9284355,4.573972928,39.08773675,3.401165009,17.6,0.329470992, , , ,2022.137961,20,0.05,19.466,114.963583,112759,Sub-Saharan Africa,20.763,0.74,1
61,Fiji, , ,-0.39, ,7,7,7,7,7,8, , , , , , ,6.3,39.69,0.39,0.1521,4, , , , , , , ,37440,3.744,10.53049493, ,4,0.25, , , , , ,0.48, 
62,Finland,0.123, ,-0.78,0.77,3,3,3,3,3,11,-0.283406106,-0.226032025,-0.226032025,-0.283406106, ,0.171,2.7,7.29,0,0,0,5442.605,17.90178128,2.884900221,75.02545671,19.28375053,100,0.252990782, , , ,48416.93603,0.33, ,43.128,18.23264339,5580,Europe & Central Asia,85.382,-1.3, 
63,France,0.584, ,-0.4,1.1,3,3,3,3,3,3, , , , ,0.213,0.213,8.8,77.44,0,0,0,65818.71,120.5628942,4.79217156,59.43586088,18.06015396,92.6,0.293521017, , , ,45342.39574,23.99, ,42.338,119.2086157,65721,Europe & Central Asia,80.444,-1.17, 
