"","FA1","FA2","FA3","FA4","FA5"
"Between religious followers",-0.196290322369866,-0.330981726245632,-1.04887978687143,0.698167561955898,-0.166559734998869
"Prostitute and Customer",0.769425158498535,-1.08371270771935,3.07411499310123,-0.247287876644519,0.120006848015034
"Guide and Tourist",-1.02207215469115,-1.12245191873051,1.39326018493427,1.36150713757918,-0.067380033313676
"Athlete and Referee",-1.43570638895015,0.142357399876494,-0.71057414152519,-0.943029602034835,0.415684894740001
"Slave and Master",0.489285396769408,-0.0612161090518658,0.512789624245876,-2.37026260274146,-1.82304160251107
"Reader and Writer",-0.276573353942515,-1.72290908698115,0.764046306585487,1.34668033463893,-1.22282559394026
"Reviewer and Writer",-0.863303807930007,-0.46615558773599,0.327980331078329,0.207713526342101,-0.044323347667636
"Performer and Audience",-0.219934494620803,-1.18173201803551,1.05631499558942,1.22057798930027,-1.1704070110888
"Dealer and Buyer",-0.0822109154612685,-0.631433334461497,2.49841547693019,-0.462016243354917,1.00922275599989
"Sugar-daddy and Sugar-baby",1.8606874244123,-0.497950025314478,2.83112762512521,-0.137500111683154,0.0440645543165814
"Director and Performer",-0.914602854112847,0.836323869032441,0.342566319578429,0.145726934222713,-0.187127591977464
