,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Professor and Graduate student,79.4392377684044,36.9348327598328,63.4484494671995,37.9175367842034,76.9743614410281,31.0699597470431,74.7376271876272,56.6443475505976,57.9929969721636,54.090905699239,54.2930031388365,55.7479958004958,38.7755394913728,86.5975597550598,26.4346498254832,32.1933670958671,64.1552902036235,47.1516983325317,17.2745127095127,23.1929026529027,43.7497617814285,22.9269703753037,66.4565531690532,66.1388978305645,72.0857372565706,80.0346334221334,70.6186313686314,53.1015401265401,74.1861878861879,72.5426909510243,82.9215569923903,78.4243913493914,75.5118076368076,1
Master and Servant,55.0043798022965,23.4210818502485,54.3998572415239,32.6600314808648,73.4543204480704,31.8393914727248,46.7951499118166,35.3996565163232,47.744515361182,55.3211393544727,63.8308278912446,54.5473451240118,24.6033127058127,46.8953148086482,65.0516926283593,45.3717209333876,76.812110697944,38.2953532578533,17.2094164477498,35.5999317349317,37.7384467384467,44.4829418112751,36.6529791196458,49.3198431198431,40.1151985360319,63.4963254338254,55.1673524006857,51.3529214612548,58.8460759919093,70.938326025826,47.4793348626682,52.1061247394581,55.0016858141858,1
Between Close Friends,87.9318325964159,88.6875694521528,84.2874598395432,86.6065174023507,24.15195329362,71.9938125917293,49.5171127483627,85.0580327851161,70.1433594183594,24.2214016693183,38.8161745661746,75.0348206114873,85.7382076873744,79.7021675238342,32.1943701052034,38.7659641284641,31.3221886446886,87.8739199072533,34.3510935052602,18.4207958707959,47.2090469098802,14.8621056721057,63.4045015170015,87.8462326253993,88.2831184247851,25.0525730442397,80.4764971139971,90.7445347862014,81.1888101096434,81.6804918846586,89.2355087813421,93.7625914209248,25.0697692739359,0
Between casual acquaintances,60.8284095534096,71.1683265808266,42.6580234580235,56.0077770994438,39.6793848898015,39.908155039405,55.6249737916405,53.6886762157595,55.5112386070719,38.8711813649314,41.6339506172839,40.5031460823127,38.2733972817306,39.8652759277759,26.8173188539855,33.1602489177489,27.4273945807279,35.832032627866,25.3523758032091,23.3795681787348,33.301779640113,18.0323899865567,45.6582713582713,49.4319445986113,49.7119903244903,25.4139742973076,47.1462147420481,40.1149210357544,45.5414565372899,45.9372391497391,63.6376739001739,43.1391640766641,38.8161919870253,2
Between teammates in sports,73.500805367472,77.7439050147383,68.8896678938346,44.4079827579828,56.9846747388414,39.3964635672969,86.3509899051566,60.2594177427511,79.9801792343459,77.0951485243152,58.7976114934448,43.4793390251724,39.164119368286,77.9955627705628,33.2255741943242,37.8459395542729,47.7638908930576,50.9659692159692,16.908487654321,42.8770622895623,60.190060325477,24.1542819063652,62.0219430261097,69.1871628371628,90.7416876333543,77.3620313328647,80.8172101047101,47.9496324662991,90.2719081844082,74.2696061654395,79.9295136961804,78.617593980094,23.3496062579396,1
Between second cousins,68.9661189119523,75.9787362329029,49.2749138207472,69.9897623980957,32.9884256175923,40.9035529285529,62.2026570651571,67.0398061814729,58.9281087739421,38.0596315721316,45.2426884843551,58.0369278098445,48.3674172278339,51.0321007696008,22.5630882235049,31.8085197210197,27.6487714446048,45.619721019721,22.1481912377746,30.8374689353856,38.6005301026134,17.3619859307359,42.0051061592728,51.9310598352265,52.3363751988752,20.9250770834104,49.6688028021361,72.9565670440671,53.02180335097,33.8892306767307,73.0270038603372,55.021491008991,36.7171698671699,0
Parent and Infant,88.46027999778,32.5976637559971,91.6216733883401,90.1898470356803,27.9818021484688,80.5226716185049,59.9444755861423,89.8179437846105,47.6254287379287,26.4991431408098,47.1112279695613,86.4106341189675,100.294774130191,84.0631463443963,28.6274821628988,34.9884549863716,44.0756764069264,98.7028288840789,62.8341049382716,22.5884509780343,34.1383247154081,22.3237383758217,80.5757478632479,90.4977682811016,84.9226763976764,26.2549794341461,85.3484452276119,95.640227673561,79.5898177439844,92.6430321221988,91.0594680011347,97.0370974704308,74.785958023458,0
Grandparent and Grandchild,88.1836891503558,37.2539776581443,79.9923036839703,86.9462861212861,29.1506989923657,71.7734765234765,62.0681810473477,86.2619616494617,46.7098367681701,25.8376227167894,46.294277944278,82.579481321148,95.0065165544332,80.2297318422318,28.3711800545134,37.7026024130191,38.503068382235,91.1382746111913,51.3792308000641,19.7625040083373,36.546776294693,18.8617384159051,72.5530232113566,83.429811700645,76.9172367755701,22.5436014602681,77.1236137319471,93.0565064565065,69.9263025554692,72.4714244089244,87.8101179684513,90.729102687436,90.3689299897633,0
Step-parent and Step-child,65.2376459959793,30.2496617579951,67.9682285307285,70.8735520652187,35.1393794477128,57.5079849163183,56.4977084643751,74.388505938506,43.7705985372652,34.6198737990405,42.9347035680369,68.1529832050665,69.6635892656726,65.1971891534392,29.9439343835177,37.6367514430014,36.1470107824274,69.557665945166,30.1399591149591,39.086678290845,37.061373657207,28.3755711880712,64.6811745353412,73.7442737817738,65.3456972040305,23.4960675127342,67.1070333987001,76.5181235431236,65.2875906500907,75.3673832340499,78.1225458183791,72.5050910509244,69.7211186961187,0
Foster-parent and Foster-child,70.9893453768454,32.1325655825656,75.635302351969,74.1584529667863,34.1848040848041,58.5783321616655,57.1500349958683,76.9258033633034,44.148211048211,30.7215995424329,41.3044278252612,66.2733886483887,71.246307319224,68.5717552509219,32.7511223344557,35.3624398749399,40.7098484848485,73.3936477873978,28.5683411495911,32.2302689594356,37.8143257976591,25.8855359147026,68.0083509083509,77.5534721451388,67.3408776408776,29.0882398465732,73.242495004995,75.1823959990626,66.9073005698006,80.6761005969339,80.3895228228562,75.5930068388402,72.2712978379645,0
Godparent and Godchild,74.9278311194978,37.9669535711202,59.133718287885,70.5125724584058,35.8420235628569,51.0294716086383,58.7475094350094,69.5271973396974,45.8090201465201,32.8203825495492,39.8301208051208,64.227730679814,67.316981321148,62.7440526294693,28.1737944925445,35.5423791486292,32.9104427208594,63.1922769360269,25.3339616402116,19.9178290844958,36.429347041847,19.2120560766394,48.8805846930847,62.4665678457345,61.991631979132,25.3936981228648,59.0535273368607,74.1701093659427,56.4776555234889,55.0576924618591,78.2895858770859,70.2705646205646,70.1698240031573,0
Step-grandparent and Step-grandchild,62.8479978354978,32.1416253499587,58.518925981426,68.0383237133237,36.9600239266906,53.8716262132929,56.4241351241351,69.2745020411687,43.6830667789001,31.0127075085408,41.2257258173925,62.6718664822831,63.4166516354016,58.9314714606381,25.877082331249,34.0537497995831,30.4167287958955,63.779000320667,27.7052178531345,25.2185175164342,35.3725398829565,22.3337732483566,54.4454519246186,64.0451479076479,59.4884075800742,21.5738721155388,57.0817932067932,69.512175633009,56.7630964714298,56.4262831304498,76.648300619134,66.6661193744527,86.9885175010175,0
Ancestor and Descendant,75.1623456790123,29.5148067981401,48.7265291806958,62.9534571909572,47.8889049222383,36.7404461279461,63.3562008978676,62.0377545294212,40.951917989418,30.5461620169953,35.2593875260542,64.8598484848485,55.6457912457912,52.974178290845,23.6957992624659,27.0914542247876,26.272759339426,50.5511684303351,46.4705908289242,26.0109227192561,28.3077320827321,19.1699194324194,63.5422432505766,68.4013992180659,66.9982292398959,26.9434878393212,45.6618603618604,82.0571138737805,40.3036842786843,42.6026051109385,82.0986194361195,67.2722179055512,91.3181384973052,0
Bride and Groom,87.6592732884399,87.0412778579445,90.6924583132916,86.8309964726631,26.1530844155844,91.7491281866282,65.8481341189675,90.2983826358826,72.0200978034311,30.8367123617124,51.2584736251403,85.8840247715248,98.827405002405,90.3311888728555,42.1204024370691,44.8895743145743,40.9228535353535,97.6464105339105,92.159942680776,34.5205086580087,62.3964766714767,21.0201679493346,65.7475566100566,90.3833065083065,85.4211731170065,29.1111747820081,88.9127958461292,79.5055376722043,84.3251649584983,89.2378024753025,89.7466911175245,91.8649349107682,27.0474918599919,0
Man and His Mistress,66.4864137405804,51.6638407888408,65.4278038319705,73.9483946608946,26.9901936026936,81.6899871733205,15.3308020683021,44.6721861471862,59.24617003367,49.8705828122495,55.8611071027738,69.0462682379349,75.1516774891775,64.6914442039442,51.2190536315536,48.683633958634,45.8933100849768,71.0009339426006,80.1076879910213,41.2024631232964,55.5874378707712,30.0574955908289,29.2519383394383,58.7330200663534,56.2464224047557,24.6210861669195,73.0796226921227,45.8070719404053,64.7662704579371,62.9705579913913,24.8511175552842,52.9872746081079,30.7062439104106,0
Man Wife and Man Mistress,34.2927348885682,41.2005050505051,41.1093073593074,56.0999118165785,41.1730920314254,36.3192720859387,25.9501623376623,33.7354316979317,37.4718213884881,56.1723204264871,43.4612974987975,66.3696568863236,46.2268478435145,40.3529000320667,29.6100328683662,36.5337522045855,25.8387987012987,37.0954345037678,39.6958012666346,72.3957892416226,35.1183201058201,39.8165945165945,29.6268868477202,46.8690079981747,38.1776570651571,21.977649356816,45.8598440140107,38.1163964122297,45.8860025776692,45.0685199060199,32.7242621575955,34.2257677507677,31.8153460736794,2
Brother and Sister,72.7949094115761,72.5365540323873,79.6298480840147,79.7306417348084,25.0737173320507,52.9355218855219,71.3409832451499,78.0264690556357,64.6404180695847,29.6567259900593,44.7646023729357,82.9225208433542,85.4744829244829,80.3896304312971,29.2688151354818,39.1522647105981,33.1614919031586,84.066670675004,19.2935746352413,39.4670434503768,48.1871312329646,23.2637987012987,67.7597451930785,86.8397297147297,78.1703375328375,27.9140718849052,73.3916729875063,92.7019075060742,72.5419353794354,77.0874537499537,89.8058427683428,86.905954385121,38.3511389844723,0
Between step-siblings,51.0328884078884,60.5898408690075,55.1153338945006,61.7931216931217,33.5650432900433,38.7347983806317,62.0439153439153,62.795835337502,55.2243045534712,36.0706629789963,42.2757816257816,66.5443843193843,61.3771665063332,62.5145242103575,23.575791646625,34.5541987333654,27.9345498637165,59.1890692640693,17.3016213724547,45.5603214686548,41.2744809203143,23.7333333333333,52.3167361959029,67.8284695243029,56.3505442088775,23.9019765728099,55.2646254979588,69.8779874446541,57.3219462636129,62.1678107386441,78.5231788273455,63.8790621415621,39.8449271407605,0
Between distant relatives,55.2243526535193,58.968272005772,30.9114718614719,50.1968594676928,50.4066137566138,29.3016454224788,58.3181758056758,44.3035153118486,49.9015672599006,43.4430134680135,43.0955467372134,50.4771083854417,44.9079565496232,39.4922578964246,22.150962000962,30.9457251082251,23.7610289401956,38.52724667308,21.1850268558602,34.5116041366041,32.6076619368286,19.1805174763508,41.5578210369877,49.9491348158015,44.0520373145373,24.9924425882759,41.4253077169744,66.3663045288045,42.7884549092882,31.7754614212948,75.3431045806046,51.2526191401191,60.02290996041,2
Between close relatives,77.9773889690557,67.1870089786756,76.6999799583133,80.3887065095398,29.4073212281546,49.4837622254289,67.2624138207472,75.3885862594196,64.3684403559404,35.1246272246272,48.5495630912298,74.1067099567099,80.754974346641,75.5932198973866,29.5045795254129,38.5037317620651,33.3972282347282,76.8159551867885,24.2377966169633,34.979182700016,45.1280303030303,19.7070586820587,64.2347868181201,81.6814890356557,72.8714054464054,26.110156047656,69.7696884905218,87.8115125615126,67.007327703161,68.3872907956241,86.2325611117278,79.9849326599327,56.7916268916269,0
