,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
662,3,47,47,100,1,1,99,100,2
663,24,51,64,100,6,10,58,100,28
664,0,43,27,100,6,16,89,95,36
665,5,53,60,100,2,11,79,97,24
666,0,23,72,100,0,2,100,100,0
667,5,8,15,95,5,12,98,100,40
668,4,51,52,100,0,6,100,100,16
669,17,46,66,95,7,11,92,100,12
670,0,0,9,67,0,14,70,86,36
671,9,24,49,100,6,9,87,100,31
