,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Guard and Prisoner,28.9429687596354,19.1021534021534,49.6394287810954,27.6568113984781,77.3861622944956,19.4565382148715,61.6213225046558,26.2118915035582,31.757572982573,49.7748347331681,51.7161964578631,42.4313411896745,15.0449815616482,32.4458994708995,19.1367043450377,30.3301527176527,38.1051406926407,22.9042388167388,14.6730980439314,72.2678150553151,23.4726230559564,78.0718374218374,70.5158043481573,51.6281772602851,24.8073239940887,63.5219777589876,44.0720687264805,51.3893357912966,51.7255297444023,70.6215789747652,58.8266571572944,29.3036083560593,47.7133461309932,2
Nurse and Patient,83.5863519196852,57.2098244348244,56.6974343557677,45.6710829294163,71.6009882093215,37.5647756564423,62.2401940651941,47.7543416460083,48.3122815456149,44.5815906315906,61.5913959497293,45.109918630752,44.9751122334456,67.5675244508578,36.6164361872695,38.6839225589226,76.960094997595,49.4904220779221,17.8003908128908,23.670202020202,31.3928210678211,27.8013488055155,83.3207494756514,73.4607779021995,66.4631082697259,75.9445481080285,68.4343514963613,40.9963782495645,69.144981044736,75.6565664183311,82.2226615704557,79.0561529701236,50.2483825814708,1
Therapist and Patient,85.5777441694109,54.8134137467471,66.8168698585365,51.4860420443754,71.2038581788582,43.8041967291967,46.5161807328474,43.5154428904429,56.5240931907599,48.9763764013764,61.7671119004452,57.8926487093154,42.5685646143979,77.424031986532,55.9409110950778,35.4010401635402,78.5833994708995,55.2618085618086,17.6747134038801,24.3900493025493,37.479633637967,26.5430214846882,81.1166542244974,79.1392796110933,71.935110341728,75.8670363133598,74.958370342439,54.1834203015576,75.9616989401303,74.0856711915535,83.1408430712352,85.8096118297099,53.1116897989447,1
Salesperson and Customer,67.6760560427227,61.703416953417,38.2180347430347,32.4396785313452,74.0054544221211,22.6787360787361,78.4290561290561,32.8272058188725,61.3369072285739,76.1795130795131,80.7728610895278,31.249859708193,21.8030523488857,59.9550244508578,88.3093915343915,77.9656064614398,80.0944364277698,24.8922218213885,16.7561588103255,29.7113716530383,72.3017456309123,27.7775953984287,65.237095121654,54.3000588463824,47.9690600068051,73.1037881961901,60.7722262849714,26.4907911442225,61.4367010984658,60.562156570735,62.085030927678,47.216263375332,44.9376593359437,1
Between Business Partners,71.9689264439264,82.5910441410442,70.0236091069424,44.4500089416756,67.143623968624,36.7460641210641,60.1435009435009,54.1585997335997,79.4298947965615,77.9808037641371,70.1617271617271,64.3700156325156,31.3207792207792,78.4694143819144,85.0221400513067,55.89420995671,61.1478715728716,48.9038279621613,18.3686507936508,40.3029100529101,75.127082331249,29.7803110469777,65.4744853639461,66.6150332510627,81.6948895693994,80.4728851486204,77.2095890402263,69.119536618066,76.674484919583,65.347377114534,71.8180313060215,76.9149391730274,41.4839997511566,1
Between opposing negotiators,30.3347054180388,61.7424282507616,40.9994591827925,31.8296222296222,76.0034770784771,18.8476874976875,62.5652184235518,31.293426018426,55.7866072199405,85.5148108064775,61.7915494998828,49.352264710598,17.856271043771,55.2843835177169,55.641853054353,47.0256874298541,41.4297298380632,20.9348825557159,15.7506734006734,78.2969917428251,76.7057138848805,48.0297578964246,55.9904656799265,51.9919376647318,30.3296816201228,65.5804796964111,51.9123689128591,33.2769539284245,51.8651998237783,47.8863813474108,55.8186893444246,29.6344238640807,42.6684075546821,2
Between political opponents,30.3804792429792,64.3619722098889,50.3921650879984,30.3768548581049,77.7809976289143,22.9461783586784,81.9152985132152,29.4081470227304,50.7553576053576,89.3472881285381,44.4993848743849,48.140117690951,14.6178915220582,47.3594208260875,40.7393057868058,30.3261508553175,24.9514090230757,19.3763959188959,14.7745962370962,88.366071058571,61.274689693023,55.1520395962063,75.1871397121397,58.418056943057,28.7336612461612,73.2452861952862,58.1081224331224,52.2979747104747,65.7005217005217,45.639485051985,46.6261030636031,17.4955132830133,38.9674376549377,2
Between business rivals,27.9929360762694,67.9109227192561,48.2607049586216,27.5599772912273,77.6519629290462,22.860071332988,68.7837516650017,26.9892790851124,47.2660772869106,88.5331994394494,57.7072994135494,45.6770934620935,15.7476695218362,38.1669573019573,63.1720153303487,46.3214351389351,40.1917279325613,21.5369800569801,14.8421291054624,84.5836553569887,63.9455274046941,54.0547123555457,64.7337611462611,58.0593947718948,37.4846001221001,80.3014781514782,56.7716926591927,52.3168951418951,62.116138028638,40.2957588707589,46.2253177378177,19.0172748547749,39.359965034965,2
Between enemies,19.6916183353683,61.2403577132744,51.3304253616754,45.3203182619849,47.3613674905342,25.0361917403584,51.5019439665273,26.8119450765284,40.1639783827284,72.6931078951912,43.9978799749633,54.7586187577854,17.1715520282187,23.6007767849435,28.0370615495615,24.8968774435441,15.8159195742529,20.9894907869908,15.211100689434,93.3820336762004,30.6080664397331,66.3272520380854,40.0346116846117,48.1233104858105,23.5916296666297,28.6631530506531,45.5895183520184,50.3916837791838,46.9190170940171,37.3013458763459,26.9500032375032,13.1813024938025,35.6493894993895,2
Teacher and Student,81.503871668455,33.2964849194016,62.9613180800681,39.7133839925507,74.8624398749399,35.9056499056499,77.4975344871178,57.1683865517199,54.5871538184038,50.8149302857636,55.9533330866664,51.5063854355521,44.607702020202,88.8558854108854,25.6804277820944,31.9615087690088,66.8476819168486,56.3032050048717,18.8424430507764,25.2843138034805,41.3524822708156,26.277240321407,76.2656006031006,72.431727994228,70.1383274133274,79.6083055833056,72.5486827986828,57.1475172975173,75.5824823324823,75.5985861360861,83.1776163651164,77.6025617900618,78.7552618677618,1
