"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Cuba","CUB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345.604248046875","402.608551025391","434.378082275391","471.979583740234","609.482727050781","677.831970214844","795.288818359375","916.650634765625","986.916748046875","1029.19750976563","1011.38116455078","1065.75183105469","1077.70043945313","1063.79150390625","1017.46435546875","1036.13049316406","1064.92504882813","1009.05438232422","1050.53564453125","1196.43249511719","1389.42956542969","1635.1259765625","1690.8349609375","",
"Czech Republic","CZE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252.42639160156","1216.82995605469","1217.25268554688","1313.26025390625","1346.24340820313","1459.15576171875","1460.55590820313","1543.97790527344","1591.8515625","2356.08056640625","2550.56713867188","2691.54931640625","2857.02221679688","2742.0751953125","2773.9599609375","2903.66162109375","3139.2353515625","3237.23583984375","3402.826171875","3592.07373046875","3516.17163085938","3682.03344726563","3862.68334960938","3976.00415039063","4127.93359375","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2830.52905273438","2896.74658203125","2920.19897460938","3129.26928710938","3167.95092773438","3245.82421875","3260.09204101563","3295.27709960938","3309.57348632813","3335.03491210938","3434.5693359375","3578.50341796875","3733.27807617188","3922.21459960938","4058.00024414063","4188.8115234375","4352.32275390625","4366.6865234375","4320.7041015625","4743.7861328125","4861.7431640625","5076.51904296875","5217.30029296875","5396.470703125","5393.1455078125","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3177.82006835938","3317.91577148438","","3559.90307617188","","3630.60375976563","4754.85693359375","4618.9228515625","4843.25390625","5197.447265625","5298.4501953125","5516.35595703125","6493.8955078125","6656.97021484375","6739.18115234375","7017.93896484375","7143.28857421875","7071.1376953125","7310.658203125","7528.26416015625","7846.65771484375","7669.90576171875","7636.13330078125","7739.4248046875","7691.8935546875","",
"Dominican Republic","DOM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
