,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
284,15.0,22.0,27.0,74.0,5.0,13.0,82.0,100.0,33.0,284
285,5.0,8.0,31.0,91.0,7.0,23.0,68.0,99.0,17.0,285
286,6.0,14.0,56.0,84.0,5.0,14.0,77.0,91.0,25.0,286
287,19.0,47.0,63.0,67.0,4.0,8.0,100.0,100.0,12.0,287
288,3.0,8.0,78.0,96.0,4.0,8.0,84.0,96.0,28.0,288
289,14.0,19.0,90.0,95.0,10.0,17.0,71.0,95.0,23.0,289
291,19.0,15.0,100.0,99.0,4.0,6.0,69.0,80.0,18.0,291
292,16.0,12.0,45.0,93.0,13.0,11.0,90.0,79.0,12.0,292
293,7.0,12.0,57.0,84.0,5.0,11.0,66.0,79.0,27.0,293
294,8.0,25.0,90.0,100.0,6.0,18.0,75.0,100.0,27.0,294
295,3.0,6.0,79.0,96.0,4.0,8.0,78.0,88.0,16.0,295
296,4.0,10.0,56.0,85.0,3.0,6.0,84.0,99.0,11.0,296
297,17.0,41.0,81.0,66.0,9.0,23.0,97.0,77.0,34.0,297
299,30.0,34.0,83.0,72.0,12.0,12.0,100.0,100.0,20.0,299
300,12.0,16.0,87.0,78.0,16.0,10.0,100.0,100.0,38.0,300
301,5.0,83.0,55.0,79.0,21.0,4.0,65.0,99.0,15.0,301
302,25.0,54.0,75.0,83.0,4.0,7.0,100.0,100.0,15.0,302
303,15.0,24.0,55.0,77.0,8.0,13.0,97.0,88.0,24.0,303
304,5.0,5.0,88.0,98.0,3.0,3.0,78.0,95.0,17.0,304
305,7.0,13.0,70.0,100.0,5.0,14.0,76.0,100.0,30.0,305
306,4.0,3.0,94.0,100.0,8.0,12.0,79.0,97.0,15.0,306
307,6.0,17.0,78.0,100.0,3.0,8.0,100.0,100.0,21.0,307
308,13.0,68.0,86.0,94.0,8.0,22.0,78.0,89.0,38.0,308
309,3.0,39.0,60.0,100.0,3.0,4.0,61.0,79.0,10.0,309
310,5.0,6.0,89.0,95.0,5.0,7.0,85.0,88.0,9.0,310
311,8.0,26.0,58.0,98.0,6.0,18.0,67.0,88.0,36.0,311
313,11.0,73.0,92.0,76.0,13.0,22.0,95.0,87.0,2.0,313
318,24.0,64.0,50.0,65.0,22.0,23.0,72.0,100.0,38.0,318
319,22.0,62.0,73.0,80.0,11.0,9.0,63.0,74.0,24.0,319
321,29.0,77.0,72.0,74.0,6.0,9.0,94.0,98.0,43.0,321
325,9.0,79.0,66.0,74.0,5.0,18.0,96.0,96.0,34.0,325
332,31.0,78.0,77.0,73.0,2.0,11.0,91.0,97.0,32.0,332
341,10.0,37.0,85.0,100.0,0.0,4.0,100.0,100.0,28.0,341
343,8.0,15.0,29.0,69.0,6.0,8.0,100.0,100.0,9.0,343
345,39.0,56.0,28.0,100.0,17.0,8.0,73.0,100.0,25.0,345
346,6.0,9.0,81.0,98.0,0.0,1.0,80.0,77.0,2.0,346
351,0.0,55.0,54.0,100.0,0.0,6.0,100.0,100.0,27.0,351
353,26.0,81.0,61.0,100.0,1.0,9.0,91.0,96.0,29.0,353
355,9.0,30.0,90.0,100.0,0.0,18.0,83.0,100.0,2.0,355
356,24.0,21.0,32.0,99.0,0.0,0.0,100.0,100.0,1.0,356
360,25.0,83.0,75.0,79.0,2.0,2.0,83.0,71.0,5.0,360
361,24.0,84.0,100.0,100.0,5.0,15.0,75.0,100.0,35.0,361
364,3.0,60.0,55.0,83.0,0.0,3.0,90.0,96.0,12.0,364
365,29.0,76.0,87.0,82.0,4.0,12.0,80.0,85.0,27.0,365
367,8.0,19.0,56.0,83.0,7.0,13.0,61.0,87.0,25.0,367
368,4.0,51.0,75.0,96.0,3.0,6.0,61.0,76.0,15.0,368
370,4.0,6.0,98.0,100.0,3.0,4.0,100.0,100.0,27.0,370
372,1.0,59.0,67.0,100.0,4.0,12.0,72.0,93.0,29.0,372
373,5.0,20.0,47.0,82.0,6.0,12.0,65.0,88.0,29.0,373
375,3.0,6.0,98.0,100.0,3.0,4.0,97.0,100.0,27.0,375
376,7.0,12.0,17.0,98.0,5.0,10.0,71.0,100.0,18.0,376
377,15.0,34.0,47.0,100.0,19.0,26.0,85.0,100.0,41.0,377
378,0.0,58.0,65.0,100.0,0.0,0.0,100.0,100.0,0.0,378
379,3.0,50.0,52.0,100.0,1.0,1.0,100.0,100.0,12.0,379
380,1.0,2.0,100.0,95.0,2.0,1.0,96.0,92.0,0.0,380
381,4.0,3.0,75.0,96.0,5.0,9.0,77.0,89.0,15.0,381
382,5.0,58.0,66.0,99.0,5.0,5.0,99.0,99.0,6.0,382
384,1.0,4.0,63.0,100.0,4.0,3.0,100.0,100.0,21.0,384
385,6.0,11.0,94.0,94.0,3.0,4.0,97.0,99.0,29.0,385
386,5.0,5.0,98.0,98.0,5.0,5.0,98.0,98.0,9.0,386
390,5.0,15.0,24.0,98.0,8.0,14.0,74.0,98.0,22.0,390
